,evento,ano,qualis,categoria
83,Conferência IADIS IBERO-AMERICANA WWW/Internet 2004,2004,-,conferencia
84,"WWW/Internet 2004, IADIS International Conference WWW/Internet",2004,-,conferencia
85,Conferência IADIS Ibero-Americana WWW/Internet 2004,2004,-,conferencia
86,IV Evento Interno de Iniciação Científica da UFMS,2004,-,conferencia
87,IV Encontro Interno de Iniciação Científica da UFMS,2004,-,conferencia
88,Congresso Ibero-americano de Extensão Universitária / Congreso Iberoamericano de Extensión Universitaria,2005,-,conferencia
89,XI Simpósio Brasileiro de Sistemas Multimídia e Web,2005,-,conferencia
90,WebMedia - Brazilian Symposium on Multimedia and the Web,2005,-,conferencia
91,XXXII Conferencia Lationoamericana de Informática,2006,-,conferencia
92,International Conference On Engineering And Computer Education,2007,-,conferencia
93,I Conferência Internacional & II Seminário Regional de Educação Profissional e Tecnológica,2007,-,conferencia
94,"WWW/Internet 2006, IADIS International Conference WWW/Internet",2006,-,conferencia
95,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2007,-,conferencia
96,SEMISH - XXXIII Seminário Integrado de Software e Hardware,2006,-,conferencia
97,VIII Congresso Ibero-americano de Extensão Universitária,2005,-,conferencia
98,3o Congresso Brasileiro de Extensão Universitária,2006,-,conferencia
99,WTD - Workshop de Teses e Dissertações do Webmedia?2005 - Simpósio Brasileiro de Sistemas Multimídia e Web,2005,-,conferencia
100,"6th ACIS International Conference on Software Engineering Research, Management and Applications",2008,-,conferencia
101,Proceedings of the 26th annual ACM international conference on Design of communication,2008,-,conferencia
102,Annual Joint Conference Integrating Technology into Computer Science Education,2007,-,conferencia
103,XXXVII Seminário Integrado de Software e Hardware - XXX Congresso da Sociedade Brasileira de Computação,2010,-,conferencia
104,CLEI 2006 - XXXII Conferencia Lationoamericana de Informática,2006,-,conferencia
105,XXXVI Conferência Latino-americana de Informática (XXXVI CLEI),2010,-,conferencia
106,WebMedia - Brazilian Symposium on Multimedia and the Web,2010,-,conferencia
107,WebMedia - Brazilian Symposium on Multimedia and the Web,2006,-,conferencia
108,7o Congresso Brasileiro de Agroinformática,2009,-,conferencia
109,Simpósio Brasileiro de Sistemas de Informação,2011,-,conferencia
110,Simpósio Brasileiro de Sistemas de Informação,2015,-,conferencia
111,Simpósio Brasileiro de Qualidade de Software,2014,-,conferencia
112,9th Latin American Web Congress (LAWEB),2014,-,conferencia
113,X Workshop de Manutenção de Software Moderna (WMSWM 2013) em conjunto com o XII Simpósio Brasileiro de Qualidade de Software (SBQS 2013),2013,-,conferencia
114,XXV Simpósio Brasileiro de Engenharia de Software,2011,-,conferencia
115,V Simpósio Brasileiro de Sistemas de Informação,2009,-,conferencia
116,Second Workshop of the Brazilian Institute for Web Science Research,2011,-,conferencia
117,17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems,2010,-,conferencia
118,International Conference on Parallel and Distributed Processing Techniques and Applications,2000,-,conferencia
119,Workshop em Paralelismo e Otimização Combinatória,1998,-,conferencia
120,Reunião Especial da SBPC,1995,-,conferencia
121,Reunião Especial de SBPC,1995,-,conferencia
122,XXV Simpósio Brasileiro de Pesquisa Operacional,1993,-,conferencia
123,International Conference on Parallel and Distributed Processing Techniques and Applications,2001,-,conferencia
124,Simpósio Brasileiro de Arquitetura de Computadores - Processamento de Alto Desempenho,1992,-,conferencia
125,Simpósio Brasileiro de Arquitetura de Computadores - Processamento de Alto Desempenho,1993,-,conferencia
126,Conferência Latino Amaricana de Informática,1993,-,conferencia
127,XII Congresso da Sociedade Brasileira de Computação - SEMISH,1992,-,conferencia
128,Latin American Workshop on Cliques of Graphs,2002,-,conferencia
129,ACM Symposium on Parallel Algorithms and Architectures - SPAA'02,2002,-,conferencia
130,14th IASTED International Conference on Parallel and Distributed Computing and Systems,2002,-,conferencia
131,I Brazillian Workshop on Bioinformatics,2002,-,conferencia
132,International Parallel & Distributed Processing Symposium - IPDPS 2003,2003,-,conferencia
133,The 15th Symposium on Computer Architecture and High Performance Computing - SBAC-PAD 2003,2003,-,conferencia
134,Second Brazillian Workshop on Bioinformatics - WOB 2003,2003,-,conferencia
135,EuroPar,2004,-,conferencia
136,The 16th Symposium on Computer Architecture and High Performance Computing - SBAC-PAD 2004,2004,-,conferencia
137,"2nd Brazilian Symposium on Graphs, Algorithms and Combinatorics - GRACO 2005",2005,-,conferencia
138,II Workshop on Computacional Grids and Applications - WCGA 2005,2005,-,conferencia
139,The 2001 International Conference on Computacional Sciece,2001,-,conferencia
140,The 2003 International Conference on Computacional Sciece and Its Applications (ICCSA 2003),2003,-,conferencia
141,10th EuroPVM/MPI 2003,2003,-,conferencia
142,11th EuroPVM/MPI 2004,2004,-,conferencia
143,Simpósio Brasileiro de Jogos para Computador e Entretenimento Digital (SBGames 2005 - WJogos 2005),2005,-,conferencia
144,Euro-Par 2006,2006,-,conferencia
145,"International Conference on Parallel and Distributed Computing and Systems (PDCS 2005),",2005,-,conferencia
146,Workshop em Sistemas Computacionais de Alto Desempenho - WSCAD 2006,2006,-,conferencia
147,Seventh IEEE International Symposium on Cluster Computing and the Grid - CCGrid 2007,2007,-,conferencia
148,"Proc. of the High Performance Computing and Simulation Conference (HPCS 2007),",2007,-,conferencia
149,"International Colloquium on Automata, Languages and Programming - ICALP 97",1997,-,conferencia
150,26th Workshop on Graph Theoretic Concepts in Computer Science,2000,-,conferencia
151,2nd. International Latin American Grid Workshop LAGrid 2008,2008,-,conferencia
152,"10th International Conference on High Performance Computing, Grid and e-Science in Asia Pacific Region",2009,-,conferencia
153,International Conference on High Performance Computing and Simulation - HPCS 2010,2010,-,conferencia
154,Latin American Conference on High Performance Computing (CLCAR 2010),2010,-,conferencia
155,Brazilian Symposium on Bioinformatics,2012,-,conferencia
156,The 41st International Conference on Parallel Processing Workshops,2012,-,conferencia
157,XLVI Simpósio Brasileiro de Pesquisa Operacional,2012,-,conferencia
158,XIV Simpósio em Sistemas Computacionais (WSCAD-SSC),2013,-,conferencia
159,"2014 International Workshop on Programming Models and Applications for Multicores and Manycores, in conjunction with PPoPP '14 ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming",2014,-,conferencia
160,2014 XL Latin American Computing Conference (CLEI),2014,-,conferencia
161,XLVI Simpósio Brasileiro de Pesquisa Operaciona,2014,-,conferencia
162,2014 International Conference on Computational Science,2014,-,conferencia
163,The 15th International Conference on Computational Science and Its Applications (ICCSA 2015),2015,-,conferencia
164,International Conference on Computational Science - ICCS 2015,2015,-,conferencia
165,16th International Conference Computational Science and Its Applications ? ICCSA 2016,2016,-,conferencia
166,2016 28th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),2016,-,conferencia
167,18th International Conference on High Performance Computing and Communications,2016,-,conferencia
168,2017 International Symposium on Computer Architecture and High Performance Computing Workshops (SBACPADW),2017,-,conferencia
169,Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD 2017,2017,-,conferencia
170,30th International Symposium on Computer Architecture and High Performance Computing,2018,-,conferencia
171,International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),2007,-,conferencia
172,IEEE International Workshop on Genomic Signal Processing and Statistics,2009,-,conferencia
173,International Conference on Intelligent Systems for Molecular Biology,2006,-,conferencia
174,International Symposium on Bioinformatics Research and Applications,2010,-,conferencia
175,1° Reunião da ABECO e 5° Simpósio de Ecologia Teórica,2016,-,conferencia
176,2018 International Conference on Computer Science and its Applications - ICCSA,2018,-,conferencia
177,2018 International Conference on Computational Sciences and its Applications - ICCSA,2018,-,conferencia
178,2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE),,-,conferencia
179,VI Encontro de Iniciação Científica (Módulo PIBIC/CNPq: UFG-UFU-UFMS-UCG-UCDB),1996,-,conferencia
180,III SECICOM - Semana de Ciência da Computação,2000,-,conferencia
181,X Seminário Regional de Informática,2000,-,conferencia
182,I WORTEC - Workshop Regional de Tecnologia em Computação,2001,-,conferencia
183,International Conference on Parallel and Distributed Processing Techniques and Applications,2004,-,conferencia
184,X Simpósio de Informática - SIMS 2005,2005,-,conferencia
185,ICANNGA - International Conference on Adaptive and Natural Computing Algorithms,2005,-,conferencia
186,IV Congresso Iberdiscap: Tecnologias de Apoio a Portadores de Deficiência,2006,-,conferencia
187,Workshop de Dissertações de Mestrado em Andamento,2001,-,conferencia
188,Euro PVM/MPI - European Parallel Virtual Machine and Message Passing Interface Conference,2003,-,conferencia
189,I WTA - Workshop de Tecnologia Adaptativa,2007,-,conferencia
190,III COMSULMT - Congresso de Computação do Sul de Mato Grosso,2007,-,conferencia
191,III Workshop de Tecnologia Adaptativa - WTA2009,2009,-,conferencia
192,12o. Congresso Regional de Informática e Telecomunicações de Mato Grosso,2008,-,conferencia
193,"I Feira de Tecnologias, Engenharias e Ciências de Mato Grosso do Sul - FETEC-MS",2011,-,conferencia
194,"Feira de Tecnologia, Engenharia e Ciências de Mato Grosso do Sul (I FETEC-MS)",2011,-,conferencia
195,XIII Sudeste PET,2013,-,conferencia
196,XX Workshop de Informática na Escola (WIE 2014),2014,-,conferencia
197,X Workshop de Visão Computacional (WVC 2014),2014,-,conferencia
198,Conference and Labs of the Evaluation Forum (CLEF 2014),2014,-,conferencia
199,VIII Workshop de Tecnologia Adaptativa (WTA 2014),2014,-,conferencia
200,42o. Seminário Integrado de Software e Hardware (SEMISH 2015),2015,-,conferencia
201,XXI Workshop de Informática na Escola,,-,conferencia
202,XXVI Simpósio Brasileiro de Informática na Educação,,-,conferencia
