,evento,ano,qualis,categoria
365,2012 13th Symposium on Computer Systems  XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia
366,XLIV SBPO/XVI CLAIO,2012,-,conferencia
367,10th IEEE/IAS International Conference on Industry Applications,2012,-,conferencia
368,16th BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES,2012,-,conferencia
369,XXXIII Congresso da Sociedade Brasileira de Computação - Concurso de Trabalhos de Iniciação Científica,2013,-,conferencia
370,2014 IEEE Frontiers in Education Conference Proceedings (FIE),2014,-,conferencia
371,Frontiers in Education Conference,2014,-,conferencia
372,XV Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD 2014),2014,-,conferencia
373,2015 28th IEEE International SystemonChip Conference (SOCC),,-,conferencia
374,Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD),2015,-,conferencia
375,28th International Symposium on Computer Architecture and High Performance Computing,2016,-,conferencia
376,7th Workshop on Applications for Multi-Core Architectures,2016,-,conferencia
377,SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE,2014,-,conferencia
378,Workshop de Computação Heterogênea,2018,-,conferencia
379,2019 31st International Symposium on Computer Architecture and High Performance Computing (SBACPAD),2019,-,conferencia
380,Simpósio em Sistemas Computacionais de Alto Desempenho,2019,-,conferencia
381,XXI Simpósio em Sistemas Computacionais de Alto Desempenho,,-,conferencia
382,Simpósio em Sistemas Computacionais de Alto Desempenho,2020,-,conferencia
383,Seminário Integrado de Software e Hardware,2021,-,conferencia
384,"2015 IEEE 26th International Conference on Applicationspecific Systems, Architectures and Processors (ASAP)",,-,conferencia
385,the 8th Latin American Conference,,-,conferencia
386,IV Latin American Workshop on Aspect-Oriented Software Development,2010,-,conferencia
387,Workshop de Teses e Dissertações em Engenharia de Software WTES,2010,-,conferencia
388,2nd International Workshop on Variability & Composition (VariComp),2011,-,conferencia
389,2011 25th Brazilian Symposium on Software Engineering (SBES),,-,conferencia
390,the 19th ACM SIGSOFT symposium and the 13th European conference,,-,conferencia
391,2012 26th Brazilian Symposium on Software Engineering (SBES),,-,conferencia
392,2013 4th International Workshop on Emerging Trends in Software Metrics (WETSoM),,-,conferencia
393,7th Latin American Workshop on Aspect-Oriented Software Development: Advanced Modularization Techniques,2013,-,conferencia
394,Companion the 36th International Conference,,-,conferencia
395,Dagstuhl Seminar 14281 - Feature Interactions: The Next Generation,2014,-,conferencia
396,2015 IEEE Frontiers in Education Conference (FIE),,-,conferencia
397,the 15th International Conference,,-,conferencia
398,the 38th International Conference,,-,conferencia
399,the 31st Brazilian Symposium,2017,-,conferencia
400,"6th Workshop on Software Visualization, Evolution and Maintenance (VEM)",2018,-,conferencia
401,the 13th International Workshop,2019,-,conferencia
402,2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),2019,-,conferencia
403,13th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),2020,-,conferencia
404,34th Brazilian Symposium on Software Engineering (SBES-IIER),2020,-,conferencia
405,"Workshop on Software Visualization, Evolution and Maintenance (VEM)",2020,-,conferencia
406,22nd International Conference on Computers in Education (ICCE),2014,-,conferencia
407,XIV Simpósio em Sistemas Computacionais - Concurso de Teses e Dissertações (WSCAD-SSC / CTD),2013,-,conferencia
408,7th Workshop on Applications for Multi Core Architectures,2016,-,conferencia
409,WSCAD-WIC 2016 (Workshop de Iniciação Científica),2016,-,conferencia
410,2013 International Conference on Parallel and Distributed Systems (ICPADS),,-,conferencia
411,Simposio de Educación Matemática,2007,-,conferencia
412,VI CIBEM - Congreso Iberoamericano de Educación Matemática,2009,-,conferencia
413,2013 IEEE 13th International Conference on Bioinformatics and Bioengineering (BIBE),,-,conferencia
414,9th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-meeting 2013),2013,-,conferencia
415,XI Simpósio Brasileiro de Bioinformática,,-,conferencia
416,19th International Conference on Bioinformatics and Bioengineering,2019,-,conferencia
417,19th International Conference on Bioinformatics and Bioengineering (BIBE),2019,-,conferencia
418,36ª Reunião Anual da SBPC,1984,-,conferencia
419,Computational Science and Its Applications -- ICCSA 2015,2021,-,conferencia
420,The 32nd International Symposium on Algorithms and Computation (ISAAC 2021),2021,-,conferencia
421,Congresso Íbero Latino Americano sobre Métodos Computacionais para Engenharia,1997,-,conferencia
422,Jornadas Sudamericanas de Ingeniería Estructural,1995,-,conferencia
423,Congresso Íbero Latino Americano sobre Métodos Computacionais em Engenharia,1994,-,conferencia
424,XXIX Jornadas Sudamericanas de Ingeniería Eestructural,2000,-,conferencia
425,Second International Conference on Engineering Computational Technology,2000,-,conferencia
426,The Third International Conference on Engineering Computational Technology,2002,-,conferencia
427,The Seventh International Conference on Computational StructuresTechnology,2004,-,conferencia
428,IV Congresso Brasileiro de Computação,2004,-,conferencia
429,VII Escola de Informática Norte,2005,-,conferencia
430,V Brazilian Symposium on Computer Games and Digital Entertainment,2006,-,conferencia
431,"Computer Graphics, Imaging and Visualisation (CGIV 2007)",2007,-,conferencia
432,VI Brazilian Symposium on Computer Games and Digital Entertainment,2007,-,conferencia
433,VII Brazilian Symposium on Games and Digital Entertainment,2008,-,conferencia
434,the 2008 ACM SIGGRAPH symposium,2008,-,conferencia
435,VIII Simpósio Brasileiro de Jogos e Entretenimento Digital,2009,-,conferencia
436,the 2010 ACM SIGGRAPH symposium,2010,-,conferencia
437,2010 Brazilian Symposium on Games and Digital Entertainment (SBGAMES),2010,-,conferencia
438,25th ACM/IEEE/SCS Workshop on Principles of Advanced and Distributed Simulation (PADS 2011),2011,-,conferencia
439,X Brazilian Symposium on Computer Games and Digital Entertainment,2011,-,conferencia
440,"XXV SIBGRAPI Conference on Graphics, Patterns and Images",2012,-,conferencia
441,XI Brazilian Symposium on Computer Games and Digital Entertainment,2012,-,conferencia
442,"2013 XXVI SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)",2013,-,conferencia
443,SIBGRAPI 2013,2013,-,conferencia
444,"2014 27th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)",2014,-,conferencia
445,2014 Brazilian Symposium on Computer Games and Digital Entertainment (SBGAMES),2014,-,conferencia
446,"2015 28th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)",2015,-,conferencia
447,"2016 29th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)",2016,-,conferencia
448,2017 Brazilian Conference on Intelligent Systems (BRACIS),2017,-,conferencia
449,"2017 30th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)",2017,-,conferencia
450,the Symposium,2017,-,conferencia
451,Jornadas Sul-Americanas de Engenharia Estrutural,1997,-,conferencia
452,3º Congresso Nacional de Iniciação Científica (CONIC) e 1º Congresso Internacional de Iniciação Científica (COINT),2003,-,conferencia
453,XI Simpósio Brasileiro de Sistemas Multimídia e Web - Qualis B Nacional,2005,-,conferencia
454,SUCESU 2004 - Congresso Nacional de Tecnologia da Informação e Comunicação,2004,-,conferencia
455,II Workshop Tidia FAPESP,2005,-,conferencia
456,JINC - XI Jornada Nacional de Iniciação Científica,2004,-,conferencia
457,International Conference on Forensic Computer Science,2011,-,conferencia
458,XXV Simpósio Brasileiro de Engenharia de Software - Trilha Especial,2011,-,conferencia
459,6th European Academy of Forensic Science Conference,2012,-,conferencia
460,International Conference on Software Engineering Research and Practice,2015,-,conferencia
461,9ª Jornada Científica Embrapa Gado de Corte,2013,-,conferencia
462,2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,-,conferencia
463,Proccedings of the 10th European Conference,,-,conferencia
464,2016 12th European Dependable Computing Conference (EDCC),2016,-,conferencia
465,IV Oficina Nacional de Problemas de Corte e Empacotamento,2000,-,conferencia
466,Brazilian Summer School on Combinatorics and Algorithms (GRACO),2001,-,conferencia
467,XXII Congresso da SBC (Jornada Acadêmica de Atualização em Informática),2002,-,conferencia
468,International Conference on Bioinformatics and Computational Biology,2003,-,conferencia
469,XXV Congresso da SBC (IV Brazilian Simposium on Bioinformatics),2005,-,conferencia
470,2nd International Conference on Bioinformatics and Computational Biology,2004,-,conferencia
471,XXVI Congresso da SBC (Workshop de Biologia Computacional),2006,-,conferencia
472,VI Brazilian Symposium on Bioinformatics,2007,-,conferencia
473,"IV Latin American Algorithms, Graphs, and Optimization Symposium",2008,-,conferencia
474,Brazilian Symposium on Bioinformatics,2007,-,conferencia
475,6th Brazilian Symposium on Bioinformatics (BSB),2011,-,conferencia
476,6th Brazilian Symposium on Bioinformatics (BSB - 2011),2011,-,conferencia
477,7ht Brazilian Symposium on Bioinformatics,2012,-,conferencia
478,VII Brazilian Symposium on Bioinformatics,2012,-,conferencia
479,21st International Symposium on String Processing and Information Retrieval (SPIRE'14),2014,-,conferencia
480,11th Brazilian Symposium on Bioinformatics,2018,-,conferencia
481,International Conference on Computational Science,2019,-,conferencia
482,VI Encontro de Iniciação Científica,1997,-,conferencia
483,IV Mostra de Iniciação Científica da Universidade de Passo Fundo,1994,-,conferencia
484,IV Fórum Nacional de Ciência e Tecnologia em Saúde,1998,-,conferencia
485,Chicago 2000 - World Congress of Medical Physics and Biomedical Engineering,2000,-,conferencia
486,XVII Congresso Brasileiro de Engenharia Biomédica,2000,-,conferencia
487,II Congresso Latinoamericano de Ingeniería Biomédica,2001,-,conferencia
488,XVIII Congresso Brasileiro de Engenharia Biomédica,2002,-,conferencia
489,III Mostra de Iniciação Científica da Universidade de Passo Fundo,1993,-,conferencia
490,XII Congreso Argentino de Bioingeniería,2001,-,conferencia
491,VII SEMETRO - Seminário Internacional de Metrologia Elétrica,2007,-,conferencia
492,I Congresso de Computação da Grande Dourados - CCGD,2008,-,conferencia
493,II ENCONTRO de INICIAÇÃO CIENTÍFICA UFGD/UEMS e I ENCONTRO DE PÓS-GRADUAÇÃO,2008,-,conferencia
494,XXI Congresso Brasileiro de Engenharia Biomédica,2008,-,conferencia
495,XI Congresso Brasileiro de Informática em Saúde,2008,-,conferencia
496,XXVII SIMPÓSIO BRASILEIRO DE TELECOMUNICAÇÕES,2009,-,conferencia
497,XXX Congresso da Sociedade Brasileira de Computação,2010,-,conferencia
498,XVIII Congresso Brasileiro de Automática,2010,-,conferencia
499,"Encontro de Ensino, Pesquisa e Extensão",2010,-,conferencia
500,XXII Congresso Brasileiro de Engenharia Biomédica,2010,-,conferencia
501,"ENEPE - Encontro de Ensino, Pesquisa e Extensão",2011,-,conferencia
502,Competição Brasileira de Robótica 2011,2011,-,conferencia
503,XXIII Congresso Brasileiro de Engenharia Biomédica,2012,-,conferencia
504,Latin American Robotics Competition,2012,-,conferencia
505,Conferência Ibero-Americana em Computação Aplicada (CIACA2013),2013,-,conferencia
506,Competição Brasileira de Robótica 2013,2013,-,conferencia
507,Latin American Robotics Competition,2014,-,conferencia
508,I Simpósio Brasileiro de Pecuária de Precisão Aplicada à Bovinocultura de corte,2014,-,conferencia
509,Frontiers in Education 2015,2015,-,conferencia
510,MEDINFO 2015 - 15th World Congress on Health and Biomedical Informatics,2015,-,conferencia
511,Latin American Robotics Competition,2016,-,conferencia
512,Conferência IADIS Ibero Americana em Computação Aplicada,2016,-,conferencia
513,XVII Encontro de Iniciação CIentífica da UFMS,2016,-,conferencia
514,Conferências IADIS Ibero-americanas WWW/Internet 2017 e Computação Aplicada 2017,2017,-,conferencia
515,XVI Latin American Robotics Competition and XV Brazilian Robotics Competition,2017,-,conferencia
516,XXII Congresso Brasileiro de Automática,2018,-,conferencia
517,Integra UFMS,2018,-,conferencia
518,XX Workshop de Tolerância a Falhas - WTF,2019,-,conferencia
519,XXX Simpósio Brasileiro de Informática na Educação (Brazilian Symposium on Computers in Education),2019,-,conferencia
520,Integra UFMS,2019,-,conferencia
521,Integra UFMS,2020,-,conferencia
522,Congresso Brasileiro de Automática 2020,2020,-,conferencia
523,2015 IEEE 28th International Symposium on ComputerBased Medical Systems (CBMS),2015,-,conferencia
524,VI Encontro de Iniciação Científica - Módulo PIBIC/CNPq,1997,-,conferencia
525,VII Encontro de Iniciação Científica - Módulo PIBIC/CNPq,1998,-,conferencia
526,19º Simpósio Brasileiro de Redes de Computadores,2001,-,conferencia
527,International Teletraffic Congress 17,2001,-,conferencia
528,IEEE Global Telecommunications Conference - GLOBECOM 2001,2001,-,conferencia
529,13th IEEE Intern. Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE-2004),2004,-,conferencia
530,First International Workshop on Mobility Aware Technologies and Applications (MATA 2004),2004,-,conferencia
531,6o. Workshop de Comunicação sem Fio e Computação Móvel (WCSF 2004),2004,-,conferencia
532,IFIP Conference on Intelligence in Communication Systems (INTELLCOMM 2005),2005,-,conferencia
533,24º Simpósio Brasileiro de Redes de Computadores (SBRC 2006),2006,-,conferencia
534,First Workshop on Ontologies and Metamodels in Software Engineering,2006,-,conferencia
535,XXV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),2007,-,conferencia
536,"1st Worskhop on Pervasive and Ubiquitous Computing (WPUC), part of 19th Intern. Symposium on Computer Architecture and High Performance Computing (SBARC-PAD 2007)",2007,-,conferencia
537,XIX SNPTEE - Seminário Nacional de Produção e Transmissão de Energia Elétrica,2007,-,conferencia
538,17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems (ECBS 2010),2010,-,conferencia
539,7º Congresso Brasileiro de Agroinformática (SBIAgro 2009),2009,-,conferencia
540,XIX Sessão de Ferramentas do XXVI Simpósio Brasileiro de Engenharia de Software (SBES) / III Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2012),2012,-,conferencia
541,UAHCI / HCI International 2014,2014,-,conferencia
542,Simpósio Nacional de Instrumentação Agropecuária - SIAGRO 2014,2014,-,conferencia
543,1º Sompósio Brasileiro de Pecuária de Precisão aplicada a Bovinocultura de Corte,2014,-,conferencia
544,X Congresso Brasileiro de Agroinformática (XSBIAgro),2015,-,conferencia
545,XII Congresso Brasileiro de Agroinformática,2019,-,conferencia
546,XII Congresso Brasileiro de Agroinformática (SBIAgro 2019),2019,-,conferencia
547,71ª Reunião Anual da SBPC,2019,-,conferencia
548,Congresso Brasileiro de Agroinformática (SBIAgro 2017),2017,-,conferencia
549,IV Encontro Nacional de Inteligência Artificial - ENIA,2003,-,conferencia
550,The Third IASTED International Conference on Artificial Intelligence and Applications,2003,-,conferencia
551,11 Simpósio Internacional de Iniciação Científica da Universidade de São Paulo - SIICUSP,,-,conferencia
552,IV Workshop on Advances and Trends in AI,2003,-,conferencia
553,VIII Simpósio de Teses e Dissertações do Programa de Pós-Graduação em Ciências de Computação e Matemática Computacional,2003,-,conferencia
554,10º Simpósio Internacional de Iniciação Científica da Universidade de São Paulo,2002,-,conferencia
555,Workshop in Artificial Intelligence,2004,-,conferencia
556,XXX Conferencia Latinoamericana de informática,2004,-,conferencia
557,Congress of Logic Applied to Technology,2005,-,conferencia
558,Workshop em Tecnologia da Informação de da Linguagem Humana (TIL2005),2005,-,conferencia
559,International Federation for Information Processing (IFIP) Congress,2006,-,conferencia
560,Concurso de Teses e Dissertações em Inteligência Artificial do SBIA,2006,-,conferencia
561,18 European Conference on Machine Learning,2007,-,conferencia
562,VII Workshop de Informática Médica,2007,-,conferencia
563,Jornadas Argentinas de Informática - JAIIO,2007,-,conferencia
564,X Congresso Brasileiro de Informática em Saúde,2006,-,conferencia
565,XV Encontro Anual de Iniciação Científica,2006,-,conferencia
566,56º Congresso Brasileiro de Coloproctologia,2007,-,conferencia
567,I Congresso da Academia Trinacional de Ciências,2006,-,conferencia
568,XIV Simpósio Internacional de Iniciação Científica da Inversidade de São Paulo,2006,-,conferencia
569,Brazilian Symposium on Artificial Intelligence,2008,-,conferencia
570,Encontro Nacional de Inteligência Artificial,2009,-,conferencia
571,Portuguese Conference on Artificial Intelligence,2009,-,conferencia
572,Nono Encontro Nacional de Inteligência Artificial (ENIA 2012),2012,-,conferencia
573,Brazilian Conference on Intelligence System,2013,-,conferencia
574,14th Ibero-American Conference on AI (IBERAMIA),2014,-,conferencia
575,Encontro Nacional de Inteligência Artificial e Computacional,2016,-,conferencia
576,"CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES, 29. (SIBGRAPI)",2016,-,conferencia
577,2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR),2017,-,conferencia
578,2018 International Joint Conference on Neural Networks (IJCNN),2018,-,conferencia
579,Competição Latino Americana e Brasileira de Robótica,2017,-,conferencia
580,IGARSS 2019  2019 IEEE International Geoscience and Remote Sensing Symposium,2019,-,conferencia
581,GRSS-YP & ISPRS Student Consortium SS 2018,2018,-,conferencia
582,2019 International Joint Conference on Neural Networks (IJCNN),2019,-,conferencia
583,IEEE International Geoscience and Remote Sensing Symposium,2019,-,conferencia
584,EPIA Conference on Artificial Intelligence,2019,-,conferencia
585,2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),2019,-,conferencia
586,Brazilian Conference on Intelligent Systems,2020,-,conferencia
587,XVI Workshop de Visão Computacional,2020,-,conferencia
588,IEEE International Geoscience and Remote Sensing Symposium,2021,-,conferencia
589,V Simpósio Brasileiro de Arquitetura de Computadores - Processamento de Alto Desempenho,1993,-,conferencia
590,the 15th international symposium,,-,conferencia
591,Third International Workshop on Experimental and Efficient Algorithms (WEA),2004,-,conferencia
592,"2nd Workshop onEmbedded Systems for RealTime Multimedia, 2004. ESTImedia 2004.",,-,conferencia
593,International Workshop on Applied Reconfigurable Computing (ARC),2008,-,conferencia
594,"2010 Design, Automation & Test in Europe Conference & Exhibition (DATE 2010)",,-,conferencia
595,2014 20th IEEE International Conference on Parallel and Distributed Systems (ICPADS),,-,conferencia
596,Escola Regional de Informática do MS (ERI-MS),2014,-,conferencia
597,21st International Conference on Parallel and Distributed Processing Techniques and Applications (PDPTA),2015,-,conferencia
598,International Conference on Computational Science (ICCS),2018,-,conferencia
599,XX Simpósio em Sistemas Computacionais de Alto Desempenho,2019,-,conferencia
600,Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance),2020,-,conferencia
601,Integra - UFMS,2019,-,conferencia
602,Integra - UFMS,2018,-,conferencia
603,Integra-UFMS,2020,-,conferencia
604,Integra - UFMS,2020,-,conferencia
605,Workshop sobre Educação em Computação (WEI) 2021,2021,-,conferencia
606,2a. Reunião Especial da Sociedade Brasileira para o Progresso da Ciência (SBPC),1995,-,conferencia
607,IX Seminário de Ensino Pesquisa e Extensão e III Encontro de Iniciação Científica da Universidade Federal de Mato Grosso do Sul (UFMS),1994,-,conferencia
608,Workshop de Teses em Engenharia de Software em conjunto com o Simpósio Brasileiro de Engenharia de Software,1998,-,conferencia
609,International Conference on Software Maintenance and Reengineering,1999,-,conferencia
610,Conferência Latinoamericana de Informática,1999,-,conferencia
611,Simpósio Brasileiro de Engenharia de Software,1999,-,conferencia
612,Concurso de Teses e Dissertações em Computação em conjunto com o Congresso da Sociedade Brasileira de Computação,2000,-,conferencia
613,Working Conference on Reverse Engineering,2000,-,conferencia
614,European Conference on Software Maintenance and Reengineering,2001,-,conferencia
615,Simpósio de Teses e Dissertações,2002,-,conferencia
616,Agile Development Conference,2003,-,conferencia
617,Workshop de Teses em Engenharia de Software,2003,-,conferencia
618,Simpósio de Desenvolvimento e Manutenção de Software da Marinha,2003,-,conferencia
619,Workshop em Engenharia de Requisitos,2003,-,conferencia
620,Simpósio Internacional de Iniciação Científica da USP - SIICUSP,2003,-,conferencia
621,Simpósio de Teses e Dissertações,2003,-,conferencia
622,Simpósio Brasileiro de Engenharia de Software,2004,-,conferencia
623,Sessão de Ferramentas em Engenharia de Software em conjunto com o XVIII Simpósio Brasileiro de Engenharia de Software,2004,-,conferencia
624,Conferência Latino-Americana de Informática,2004,-,conferencia
625,Experimental Software Engineering Latin American Workshop em conjunto com o XVIII Simpósio Brasileiro de Engenharia de Software,2004,-,conferencia
626,Workshop de Manutenção de Software Moderna em conjunto com o XVIII Simpósio Brasileiro de Engenharia de Software,2004,-,conferencia
627,Jornadas Iberoamericanas de Ingeniería del Software e Ingeniería del Conocimiento,2004,-,conferencia
628,Simpósio de Desenvolvimento e Manutenção de Software da Marinha,2004,-,conferencia
629,Simpósio de Teses e Dissertações,2004,-,conferencia
630,Simpósio Internacional de Iniciação Científica da USP - SIICUSP,2004,-,conferencia
631,Jornada Nacional de Iniciação Científica,2004,-,conferencia
632,Latin American Conference on Pattern Languages of Programming,2005,-,conferencia
633,Conferência Latino-Americana de Informática,2006,-,conferencia
634,Simpósio Brasileiro de Sistemas de Informação,2006,-,conferencia
635,Workshop de Aplicações de Realidade Virtual,2006,-,conferencia
636,Experimental Software Engineering Latin American Workshop,2006,-,conferencia
637,Jornada Ibero-Americana de Engenharia de Software e Engenharia do Conhecimento,,-,conferencia
638,Latin American Conference on Pattern Languages of programming,2007,-,conferencia
639,Workshop on Requirements Engineering,2007,-,conferencia
640,Simpósio Brasileiro de Qualidade de Software,2007,-,conferencia
641,Workshop de Desenvolvimento Rápido de Aplicações,2007,-,conferencia
642,Conferência Latino Americana de Informática,2007,-,conferencia
643,Seminário de Iniciação Científica,2007,-,conferencia
644,Simpósio Internacional de Iniciação Científica,2007,-,conferencia
645,Annual ACM Symposium on Applied Computing,2008,-,conferencia
646,Simpósio Brasileiro de Engenharia de Software,2008,-,conferencia
647,Jornada Peruana de Computación,2008,-,conferencia
648,Simpósio Internacional de Iniciação Científica da USP,2008,-,conferencia
649,Fórum de Informática e Tecnologia de Maringá,2008,-,conferencia
650,Simpósio Brasileiro de Qualidade de Software,2009,-,conferencia
651,Simpósio Brasileiro de Informática na Educação,2009,-,conferencia
652,Workshop de Engenharia de Software da Facom,2009,-,conferencia
653,2010 17th IEEE International Conference and Workshops on Engineering of Computer Based Systems,,-,conferencia
654,Workshop Brasileiro de Métodos Ágeis,2010,-,conferencia
655,Latin American Conference on Pattern Languages of Programming,2010,-,conferencia
656,Simpósio Brasileiro de Engenharia de Software,2011,-,conferencia
657,Conferência Latino-Americana de Informática,2011,-,conferencia
658,Workshop sobre Gerenciamento de Projetos de Software do Simpósio Brasileiro de Qualidade de Software,2012,-,conferencia
659,Escola Regional de Informática de Mato Grosso do Sul,2013,-,conferencia
660,Simpósio da Produção do Conhecimento na Graduação e Pós-Graduação em Mato Grosso do Sul,2013,-,conferencia
661,International Conference on Human-Computer Interaction,2014,-,conferencia
662,International Conference on Software Engineering and Knowledge Engineering,2014,-,conferencia
663,International Conference on Computational Science and Its Applications,2014,-,conferencia
664,2014 14th International Conference on Computational Science and Its Applications (ICCSA),,-,conferencia
665,Conferência Latino-Americana de Informática,2014,-,conferencia
666,IAMPS: An process to support the MPS.BR implementation together with agile methods,2014,-,conferencia
667,"Workshop on Software Visualization, Evolution and Maintenance (VEM 2014)",2014,-,conferencia
668,Workshop on Process Model Collections: Management and Reuse,2014,-,conferencia
669,Sessão de Ferramentas do Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2014),2014,-,conferencia
670,Escola Regional de Informática de Mato Grosso do Sul,2014,-,conferencia
671,2014 9th Latin American Web Congress (LAWEB),,-,conferencia
672,ACM/SIGAPP Symposium On Applied Computing,2015,-,conferencia
673,Simpósio Brasileiro de Pecuária de Precisão,2014,-,conferencia
674,International Conference on Software Engineering and Knowledge Engineering,2015,-,conferencia
675,International Conference on Computational Science and Its Applications,2015,-,conferencia
676,International Conference on Computer Systems and Applications,2015,-,conferencia
677,Simpósio Brasileiro de Sistemas de Informação,2016,-,conferencia
678,Simpósio Brasileiro de Qualidade de Software,2016,-,conferencia
679,International Conference on Information Technology : New Generations,2017,-,conferencia
680,International Conference on Software Engineering and Knowledge Engineering,2017,-,conferencia
681,"EFITA Congress (European conference dedicated to the future use of ICT in the agri-food sector, bioresource and biomass sector)",2017,-,conferencia
682,Simpósio Brasileiro de Sistemas de Informação,2017,-,conferencia
683,Simpósio Brasileiro de Sistemas de Informação,2018,-,conferencia
684,Brazilian Conference on Software - CBSOFT (Trilha da indústria),2018,-,conferencia
685,Simpósio Brasileiro de Sistemas de Informação,2019,-,conferencia
686,Iberian Conference on Information Systems and Technologies,2019,-,conferencia
687,Proceedings of GRSS-YP & YSPRS Student Consortium Summer School,2018,-,conferencia
688,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,2019,-,conferencia
689,Simpósio Brasileiro de Qualidade de Software,2021,-,conferencia
690,Sessão de Ferramentas do Simpósio Brasileiro de Engenharia de Software (SBES),2012,-,conferencia
691,28o Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC 2010),2010,-,conferencia
692,International Conference on Computer Communications and Networks (ICCCN'10),2010,-,conferencia
693,IADIS International Conference - WWW/Internet 2012,2012,-,conferencia
694,CIbSE - Congreso Iberoamericano en Ingeniería de Software,2014,-,conferencia
695,"VIII Workshop de Desenvolvimento Distribuído de Software, Ecossistemas de Software e Sistemas de Sistemas - WDES",2014,-,conferencia
696,"COMPSAC 2015 - The 39th Annual International Computers, Software & Applications Conference",2015,-,conferencia
697,"UBICOMM 2015: The Ninth International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",2015,-,conferencia
698,"SBQS - Simpósio Brasileiro de Qualidade de Sotware, WTDQS - Workshop de Teses e Dissertações em Qualidade de Software",2015,-,conferencia
699,2015 29th Brazilian Symposium on Software Engineering (SBES),,-,conferencia
700,"CBSoft 2015 - IX Workshop em Desenvolvimento Distribuído de Software, Ecossistemas de Software e Sistemas-de-Sistemas",2015,-,conferencia
701,WWW/Internet 2015 Conference (CIAWI 2015),2015,-,conferencia
702,Amazon Advanced School of Software Quality,2015,-,conferencia
703,13th Empirical Software Engineering Latin American Workshop (ESELAW 2016),2016,-,conferencia
704,The 28th International Conference on Software Engineering & Knowledge Engineering,2016,-,conferencia
705,Latin-American School on Software Engineering (ELA-ES),2016,-,conferencia
706,"X WDES - X Workshop em Desenvolvimento Distribuído de Software, Ecossistemas de Software e Sistemas-de-Sistemas",2016,-,conferencia
707,Brazilian Symposium on Software Quality,2016,-,conferencia
708,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software (WASHES)",2016,-,conferencia
709,"ICSE Joint 5th International Workshop on Software Engineering for Systems-of-systems and 11th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",2017,-,conferencia
710,"COMPSAC 2017 - The 41th Annual International Computers, Software & Applications Conference",2017,-,conferencia
711,CIbSE 2017,2017,-,conferencia
712,"Workshop on Social, Human, and Economic Aspects of Software (WASHES) at the 16th International Conference on Software Reuse",2017,-,conferencia
713,Brazilian Symposium on Software Engineering (SBES),2017,-,conferencia
714,TISE - Conferência Internacional sobre Informática na Educação,2016,-,conferencia
715,12th European Conference on Software Architecture - Workshops,2018,-,conferencia
716,XVI SBQS - XVI Simpósio Brasileiro de Qualidade de Software,2017,-,conferencia
717,ICSR 2017 - 16th International Conference on Software Reuse,2017,-,conferencia
718,Brazilian Symposium on Software Quality (SBQS 2018),2018,-,conferencia
719,Frontiers in Education,2019,-,conferencia
720,Brazilian Symposium on Informatics in Education (SBIE),2019,-,conferencia
721,XVI Brazilian Symposium on Information Systems - SBSI'20,2020,-,conferencia
722,Ibero-American Conference on Software Engineering (CIbSE),2020,-,conferencia
723,International Conference on Global Software Engineering,2020,-,conferencia
724,Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),2020,-,conferencia
725,XVI Simpósio Brasileiro de Sistemas de Informação,2020,-,conferencia
726,"V WORKSHOP SOBRE ASPECTOS SOCIAIS, HUMANOS E ECONÔMICOS DE SOFTWARE (WASHES)",2020,-,conferencia
727,Brazilian Symposium on Software Engineering - SBES'20,2020,-,conferencia
728,34th Brazilian Symposium on Software Engineering,2020,-,conferencia
729,SBSI'21: XVII Brazilian Symposium on Information Systems,2021,-,conferencia
