,Unnamed: 0,evento,ano,qualis,match_sigla,conferencia_score,fuzz_token_sort_ratio
56,56,the Conference of the ACM Special Interest Group,2017.0,-,er,international conference of the biometrics special interest group,81
57,57,the ACM SIGCOMM 2018 Conference,2018.0,-,sigcomm,acm sigcomm conference,77
58,58,XXXVII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,2019.0,-,im,simposio brasileiro de redes de computadores e sistemas distribuidos,100
59,59,the ACM SIGCOMM 2019 Conference Posters and Demos,2019.0,-,sigcomm,acm sigcomm conference,77
60,60,the 15th International Conference,2019.0,-,er,international cad conference,92
61,61,IFIP Networking Conference (NETWORKING),2020.0,-,networking,ifip networking conference,100
62,62,USENIX Annual Technical Conference 2021 (USENIX ATC'21),2021.0,-,ec,usenix annual technical conference,100
63,63,the Afternoon Workshop,2018.0,-,er,international workshop on collaborative virtual environments,68
64,64,IV Simpósio Brasileiro de Sistemas Multimídia e Hipermídia,1998.0,-,iv,simposio brasileiro de sistemas eletricos,85
65,65,"IX International ACM Conference on Hypertext and Hypermedia, Hypertext?98",1998.0,-,er,acm conference on hypertext and hypermedia,100
66,66,"VIII International ACM Conference on Hypertext and Hypermedia, Hypertext?97",1997.0,-,er,acm conference on hypertext and hypermedia,100
67,67,II Encontro para o Processamento Computacional do Português Escrito e Falado,1996.0,-,sam,workshop de visao computacional,68
68,68,Workshop de pesquisas de tese em Engenharia de Software,1996.0,-,works,workshop iberchip,65
69,69,International Symposium on Mathematics/Science Education and Technology,1994.0,-,er,international symposium compimage,85
70,70,IV Simpósio Brasileiro de Informática na Educação,1993.0,-,iv,simposio brasileiro de informatica na educacao,100
71,71,VII Annual Conference on Writing and Computers,1995.0,-,er,agile conference,81
72,72,Semana Comemorativa dos 20 anos da Pós-Graduação em Ciências da Computação e Matemática Computacional do ICMSC-USP,1995.0,-,sem,simposio de mecanica computacional,74
73,73,IX Conferencia Interamericana de Educación Matemaática,1995.0,-,er,conferencia latinoamericana de informatica,74
74,74,"II Workshop em Sistemas Hipermídia, WOSH'96",1996.0,-,works,workshop iberchip,65
75,75,II CIT,1995.0,-,cit,hawaii international conference on system sciences,83
