,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
598,1026,6th International Workshop on Middleware for Grid Computing,20080.0,-,conferencia,middleware,international workshop on algorithms and computation,international i*workshop,international workshop on developments in computational models,international i*workshop,72.0,92.0,69.0,96.0,,B4,,B4,nulo,nao_tem,-
599,14,Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,20120.0,-,conferencia,-,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on natural language learning,71.0,100.0,71.0,100.0,,A1,,A2,ratio partial sort,conference on empirical methods in natural language processing,A1
600,378,Workshop de Computação Heterogênea,20180.0,-,conferencia,-,workshop de visao computacional,workshop de computacao em clouds e aplicacoes,workshop de visao computacional,workshop de desafios da computacao aplicada a educacao,71.0,76.0,71.0,79.0,,,,,nulo,nao_tem,-
601,509,Frontiers in Education 2015,20150.0,-,conferencia,-,ieee frontiers in education conference,international conference on frontiers in education: computer science and computer engineering,ieee frontiers in education conference,international conference on frontiers in education: computer science and computer engineering,71.0,85.0,71.0,90.0,,B3,,B3,nulo,nao_tem,-
602,530,First International Workshop on Mobility Aware Technologies and Applications (MATA 2004),20040.0,-,conferencia,-,"international workshop on smart city clouds: technologies, systems and applications",international i*workshop,"international workshop on smart city clouds: technologies, systems and applications",international i*workshop,71.0,92.0,73.0,96.0,,B4,,B4,nulo,nao_tem,-
603,574,14th Ibero-American Conference on AI (IBERAMIA),20140.0,-,conferencia,ai,ibero-american conference on artificial intelligence,agile conference,international conference on biometrics,american control conference,71.0,75.0,65.0,83.0,,,,A1,ratio,ibero-american conference on artificial intelligence,B3
604,721,XVI Brazilian Symposium on Information Systems - SBSI'20,20200.0,-,conferencia,sbsi,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on geoinformatics,real-time systems symposium,71.0,89.0,70.0,77.0,,B1,,,nulo,nao_tem,-
605,729,SBSI'21: XVII Brazilian Symposium on Information Systems,20210.0,-,conferencia,sbsi,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on geoinformatics,real-time systems symposium,71.0,89.0,70.0,77.0,,B1,,,nulo,nao_tem,-
606,814,XI Congresso Latinoamericano de Buiatria,20030.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,ieee international congress on bigdata,congresso brasileiro de automatica,71.0,70.0,62.0,65.0,,,,,nulo,nao_tem,-
607,815,WOB - II Workshp Brasileiro de Bioinformática,20030.0,-,conferencia,-,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,71.0,78.0,66.0,73.0,,,,,nulo,nao_tem,-
608,851,"10th International Conference on High Performance Computing, Grid and e-Science in Asia Pacific Region HPC Asia 2009",20090.0,-,conferencia,-,international conference on high performance computing and communications,ieee international conference on high performance computing,"international conference for high performance computing, networking, storage and analysis",ieee international conference on high performance computing,71.0,93.0,67.0,96.0,,A3,,A3,nulo,nao_tem,-
609,882,"10th International Conference on High Performance Computing, Grid and e-Science in Asia Pacific Region HPC-Asia 2009",20090.0,-,conferencia,-,international conference on high performance computing and communications,ieee international conference on high performance computing,"international conference for high performance computing, networking, storage and analysis",ieee international conference on high performance computing,71.0,93.0,67.0,96.0,,A3,,A3,nulo,nao_tem,-
610,883,11º Simpósio Internacional de Iniciação Científica da USP,20030.0,-,conferencia,-,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,71.0,79.0,67.0,71.0,,,,,nulo,nao_tem,-
611,892,17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems,20100.0,-,conferencia,-,international workshop on engineering multiagent systems,ieee international conference on rfid,ieee international conference on dependable systems and networks workshops,ieee international systems conference,70.0,89.0,74.0,100.0,,A4,,A4,nulo,nao_tem,-
