,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
0,877,SBAC-PAD,20030.0,-,conferencia,sbac-pad,approx-random,asia-pacific conference on intelligent robot systems,fast software encryption,fast software encryption,38.0,62.0,31.0,31.0,,,,,nulo,international symposium on computer architecture and high performance computing,A4
1,698,XX Brazilian Software Quality Symposium (SBQS),20210.0,-,conferencia,sbqs,annual reliability and maintainability symposium,ieee haptics symposium,brazilian symposium on software engineering,brazilian symposium on software engineering,55.0,64.0,71.0,79.0,,,,,nulo,simposio brasileiro de qualidade de software,B1
2,142,WSCAD-WIC,20100.0,-,conferencia,wscad,workshop de informatica medica,ow - international conference on ad-hoc networks and wireless,workshop iberchip,ieee/wic/acm international conference on intelligent agent technology,36.0,56.0,38.0,50.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
3,1027,http://wscad.facom.ufms.br/,20190.0,-,conferencia,wscad,workshop-escola de informatica teorica,caise forum,acm conference on hypertext and social media,acm conference on hypertext and social media,34.0,45.0,41.0,41.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
4,811,XVII Congresso da Sociedade Brasileuira de Computação,19970.0,-,conferencia,-,congresso brasileiro de automatica,simposio brasileiro de computacao musical,congresso brasileiro de pesquisadores em cibercultura,congresso brasileiro de informatica em saude,64.0,69.0,64.0,68.0,,,,,nulo,workshops do congresso brasileiro de informatica na educacao,B2
5,116,WSCAD-WIC 2016 (Workshop de Iniciação Científica),20160.0,-,conferencia,wscad,workshop de informatica medica,workshop iberchip,international workshop on unification,workshop iberchip,56.0,71.0,55.0,64.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
6,321,2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia,-,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio de mecanica computacional,simposio em sistemas computacionais de alto desempenho,real-time systems symposium,55.0,76.0,60.0,77.0,,,,,sort,simposio em sistemas computacionais de alto desempenho,B1
7,326,2012 13th Symposium on Computer Systems  XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia,-,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio de mecanica computacional,simposio em sistemas computacionais de alto desempenho,real-time systems symposium,55.0,76.0,60.0,77.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
8,10,International Conference on Computational Processing of the Portuguese Language,20100.0,-,conferencia,-,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,international conference on computational processing of the portuguese language,B1
9,13,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,20110.0,-,conferencia,-,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,european conference on machine learning and principles and practice of knowledge discovery in databases,A2
10,18,IEEE International Joint Conference on Neural Networks,20170.0,-,conferencia,networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,ieee international joint conference on neural networks,A2
11,22,IEEE International Conference on Tools with Artificial Intelligence,20190.0,-,conferencia,-,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,conference on artificial intelligence,100.0,100.0,100.0,100.0,A3,A3,A3,A1,ratio partial sort,ieee international conference on tools with artificial intelligence,A3
12,23,ACM Symposium on Applied Computing,20200.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,acm symposium on applied computing,A2
13,25,Working Conference on Mining Software Repositories,20200.0,-,conferencia,-,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,100.0,100.0,100.0,100.0,A1,A1,A1,A1,all,working conference on mining software repositories,A1
14,26,Brazilian Conference on Intelligent System,20200.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,brazilian conference on intelligent system,A4
15,109,Simpósio Brasileiro de Sistemas de Informação,20110.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
16,110,Simpósio Brasileiro de Sistemas de Informação,20150.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
17,111,Simpósio Brasileiro de Qualidade de Software,20140.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
18,118,International Conference on Parallel and Distributed Processing Techniques and Applications,20000.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100.0,100.0,100.0,100.0,B2,B2,B2,A3,ratio partial sort,international conference on parallel and distributed processing techniques and applications,B2
19,123,International Conference on Parallel and Distributed Processing Techniques and Applications,20010.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100.0,100.0,100.0,100.0,B2,B2,B2,A3,ratio partial sort,international conference on parallel and distributed processing techniques and applications,B2
20,155,Brazilian Symposium on Bioinformatics,20120.0,-,conferencia,-,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,brazilian symposium on bioinformatics,B1
21,174,International Symposium on Bioinformatics Research and Applications,20100.0,-,conferencia,-,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,international symposium on bioinformatics research and applications,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,international symposium on bioinformatics research and applications,A4
22,183,International Conference on Parallel and Distributed Processing Techniques and Applications,20040.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100.0,100.0,100.0,100.0,B2,B2,B2,A3,ratio partial sort,international conference on parallel and distributed processing techniques and applications,B2
23,209,Workshops do Congresso Brasileiro de Informática na Educação,20160.0,-,conferencia,-,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,workshops do congresso brasileiro de informatica na educacao,100.0,100.0,100.0,100.0,B2,B2,B2,B2,all,workshops do congresso brasileiro de informatica na educacao,B2
24,216,Computer on the Beach,20190.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,computer on the beach,B3
25,218,Computer on the Beach,20210.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,computer on the beach,B3
26,219,Workshop sobre Educação em Computação,20210.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,workshop sobre educacao em computacao,A4
27,243,Workshop on Algorithms in Bioinformatics,20200.0,-,conferencia,-,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,workshop on algorithms in bioinformatics,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,workshop on algorithms in bioinformatics,A3
28,250,Simpósio Brasileiro de Banco de Dados,20020.0,-,conferencia,-,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,simposio brasileiro de banco de dados,A4
29,254,Simpósio Brasileiro de Qualidade de Software,,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
30,256,Network and Distributed System Security Symposium,20190.0,-,conferencia,-,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,100.0,100.0,100.0,100.0,A1,A1,A1,A1,all,network and distributed system security symposium,A1
31,259,Brazilian Workshop on Social Network Analysis and Mining,20210.0,-,conferencia,-,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,brazilian workshop on social network analysis and mining,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,brazilian workshop on social network analysis and mining,B3
32,329,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,20090.0,-,conferencia,-,cologne-twente workshop on graphs and combinatorial optimization,cologne-twente workshop on graphs and combinatorial optimization,cologne-twente workshop on graphs and combinatorial optimization,cologne-twente workshop on graphs and combinatorial optimization,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,cologne-twente workshop on graphs and combinatorial optimization,B3
33,333,Simpósio Brasileiro de Pesquisa Operacional,20120.0,-,conferencia,-,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,simposio brasileiro de pesquisa operacional,B3
34,337,Congresso Nacional de Matemática Aplicada e Computacional,20180.0,-,conferencia,-,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,congresso nacional de matematica aplicada e computacional,B3
35,356,Brazilian Symposium on Programming Languages,20080.0,-,conferencia,-,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,brazilian symposium on programming languages,A4
36,357,Simpósio Brasileiro de Pesquisa Operacional,20080.0,-,conferencia,-,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,simposio brasileiro de pesquisa operacional,B3
37,380,Simpósio em Sistemas Computacionais de Alto Desempenho,20190.0,-,conferencia,-,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
38,382,Simpósio em Sistemas Computacionais de Alto Desempenho,20200.0,-,conferencia,-,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
39,383,Seminário Integrado de Software e Hardware,20210.0,-,conferencia,-,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,seminario integrado de software e hardware,B1
40,460,International Conference on Software Engineering Research and Practice,20150.0,-,conferencia,-,international conference on software engineering research and practice,international conference on software engineering,international conference on software engineering research and practice,international conference on software engineering,100.0,100.0,100.0,100.0,B3,A1,B3,A1,ratio sort,international conference on software engineering research and practice,B3
41,474,Brazilian Symposium on Bioinformatics,20070.0,-,conferencia,-,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,brazilian symposium on bioinformatics,B1
42,481,International Conference on Computational Science,20190.0,-,conferencia,-,international conference on computational science,international conference on computational science and computational intelligence,international conference on computational science,international conference on computational science and computational intelligence,100.0,100.0,100.0,100.0,B2,A4,B2,A4,ratio sort,international conference on computational science,B2
43,571,Portuguese Conference on Artificial Intelligence,20090.0,-,conferencia,-,portuguese conference on artificial intelligence,conference on artificial intelligence,portuguese conference on artificial intelligence,conference on artificial intelligence,100.0,100.0,100.0,100.0,B2,A1,B2,A1,ratio sort,portuguese conference on artificial intelligence,B2
44,575,Encontro Nacional de Inteligência Artificial e Computacional,20160.0,-,conferencia,-,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,encontro nacional de inteligencia artificial e computacional,B4
45,583,IEEE International Geoscience and Remote Sensing Symposium,20190.0,-,conferencia,-,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,ieee international geoscience and remote sensing symposium,A3
46,588,IEEE International Geoscience and Remote Sensing Symposium,20210.0,-,conferencia,-,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,ieee international geoscience and remote sensing symposium,A3
47,610,Conferência Latinoamericana de Informática,19990.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,100.0,100.0,100.0,100.0,B2,B2,B2,B2,all,conferencia latinoamericana de informatica,B2
48,613,Working Conference on Reverse Engineering,20000.0,-,conferencia,-,working conference on reverse engineering,working conference on reverse engineering,working conference on reverse engineering,working conference on reverse engineering,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,working conference on reverse engineering,A3
49,614,European Conference on Software Maintenance and Reengineering,20010.0,-,conferencia,-,european conference on software maintenance and reengineering,european conference on software maintenance and reengineering,european conference on software maintenance and reengineering,european conference on software maintenance and reengineering,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,european conference on software maintenance and reengineering,A3
50,632,Latin American Conference on Pattern Languages of Programming,20050.0,-,conferencia,latin,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,latin american conference on pattern languages of programming,B4
51,634,Simpósio Brasileiro de Sistemas de Informação,20060.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
52,638,Latin American Conference on Pattern Languages of programming,20070.0,-,conferencia,latin,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,latin american conference on pattern languages of programming,B4
53,639,Workshop on Requirements Engineering,20070.0,-,conferencia,-,workshop on requirements engineering,international workshop on requirements engineering and law,workshop on requirements engineering,international workshop on requirements engineering and law,100.0,100.0,100.0,100.0,A4,B3,A4,B3,ratio sort,workshop on requirements engineering,A4
54,640,Simpósio Brasileiro de Qualidade de Software,20070.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
55,650,Simpósio Brasileiro de Qualidade de Software,20090.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
56,651,Simpósio Brasileiro de Informática na Educação,20090.0,-,conferencia,-,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,simposio brasileiro de informatica na educacao,A3
57,654,Workshop Brasileiro de Métodos Ágeis,20100.0,-,conferencia,-,workshop brasileiro de metodos ageis,workshop brasileiro de metodos ageis,workshop brasileiro de metodos ageis,workshop brasileiro de metodos ageis,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,workshop brasileiro de metodos ageis,B4
58,655,Latin American Conference on Pattern Languages of Programming,20100.0,-,conferencia,latin,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,latin american conference on pattern languages of programming,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,latin american conference on pattern languages of programming,B4
59,661,International Conference on Human-Computer Interaction,20140.0,-,conferencia,-,international conference on human-computer interaction,international conference on human-computer interaction,international conference on human-computer interaction,international conference on human-computer interaction,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,international conference on human-computer interaction,B1
60,662,International Conference on Software Engineering and Knowledge Engineering,20140.0,-,conferencia,-,international conference on software engineering and knowledge engineering,international conference on software engineering,international conference on software engineering and knowledge engineering,international conference on software engineering,100.0,100.0,100.0,100.0,B1,A1,B1,A1,ratio sort,international conference on software engineering and knowledge engineering,B1
61,663,International Conference on Computational Science and Its Applications,20140.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science,international conference on computational science and its applications,international conference on computational science,100.0,100.0,100.0,100.0,A3,B2,A3,B2,ratio sort,international conference on computational science and its applications,A3
62,674,International Conference on Software Engineering and Knowledge Engineering,20150.0,-,conferencia,-,international conference on software engineering and knowledge engineering,international conference on software engineering,international conference on software engineering and knowledge engineering,international conference on software engineering,100.0,100.0,100.0,100.0,B1,A1,B1,A1,ratio sort,international conference on software engineering and knowledge engineering,B1
63,675,International Conference on Computational Science and Its Applications,20150.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science,international conference on computational science and its applications,international conference on computational science,100.0,100.0,100.0,100.0,A3,B2,A3,B2,ratio sort,international conference on computational science and its applications,A3
64,677,Simpósio Brasileiro de Sistemas de Informação,20160.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
65,678,Simpósio Brasileiro de Qualidade de Software,20160.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
66,679,International Conference on Information Technology : New Generations,20170.0,-,conferencia,-,international conference on information technology : new generations,international conference on information technology : new generations,international conference on information technology : new generations,international conference on information technology : new generations,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,international conference on information technology : new generations,A4
67,680,International Conference on Software Engineering and Knowledge Engineering,20170.0,-,conferencia,-,international conference on software engineering and knowledge engineering,international conference on software engineering,international conference on software engineering and knowledge engineering,international conference on software engineering,100.0,100.0,100.0,100.0,B1,A1,B1,A1,ratio sort,international conference on software engineering and knowledge engineering,B1
68,682,Simpósio Brasileiro de Sistemas de Informação,20170.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
69,683,Simpósio Brasileiro de Sistemas de Informação,20180.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
70,685,Simpósio Brasileiro de Sistemas de Informação,20190.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
71,686,Iberian Conference on Information Systems and Technologies,20190.0,-,conferencia,-,iberian conference on information systems and technologies,iberian conference on information systems and technologies,iberian conference on information systems and technologies,iberian conference on information systems and technologies,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,iberian conference on information systems and technologies,A4
72,688,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,20190.0,-,conferencia,-,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio brasileiro sobre fatores humanos em sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,simposio brasileiro sobre fatores humanos em sistemas computacionais,A4
73,689,Simpósio Brasileiro de Qualidade de Software,20210.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
74,780,Simpósio Brasileiro de Automação Inteligente,20110.0,-,conferencia,-,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,simposio brasileiro de automacao inteligente,B4
75,782,Congresso Brasileiro de Automática,20120.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,congresso brasileiro de automatica,B4
76,783,Simpósio Brasileiro de Automação Inteligente,20130.0,-,conferencia,-,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,simposio brasileiro de automacao inteligente,B4
77,784,Congresso Brasileiro de Automática,20140.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,congresso brasileiro de automatica,B4
78,831,Brazilian Symposium on Bioinformatics,20180.0,-,conferencia,-,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,brazilian symposium on bioinformatics,B1
79,864,"CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES",20120.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
80,865,Workshop de Visão Computacional,20120.0,-,conferencia,-,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,workshop de visao computacional,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,workshop de visao computacional,B4
81,925,Workshop sobre Educação em Computação,20200.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,workshop sobre educacao em computacao,A4
82,937,Simpósio Brasileiro de Qualidade de Software,20020.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
83,1008,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",20140.0,-,conferencia,-,"international conference on embedded computer systems: architectures, modeling and simulation","international conference on embedded computer systems: architectures, modeling and simulation","international conference on embedded computer systems: architectures, modeling and simulation","international conference on embedded computer systems: architectures, modeling and simulation",100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,"international conference on embedded computer systems: architectures, modeling and simulation",B1
84,1020,International Symposium on Computer Architecture and High Performance Computing,20180.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,100.0,100.0,100.0,100.0,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
85,1021,Simpósio em Sistemas Computacionais de Alto Desempenho,20180.0,-,conferencia,-,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
86,1028,Workshop de Realidade Virtual e Aumentada,20120.0,-,conferencia,-,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,workshop de realidade virtual e aumentada,B4
87,17,Brazilian Conference on Intelligent Systems,20140.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,99.0,100.0,99.0,99.0,A4,A4,A4,A4,all,brazilian conference on intelligent system,A4
88,19,Brazilian Conference on Intelligent Systems,20170.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,99.0,100.0,99.0,99.0,A4,A4,A4,A4,all,brazilian conference on intelligent system,A4
89,312,IEEE Sensors Applications Sympsium,20080.0,-,conferencia,sensors,ieee sensors applications symposium,ieee sensors,ieee sensors applications symposium,ieee sensors,99.0,100.0,99.0,100.0,B1,A4,B1,A4,ratio sort,ieee sensors applications symposium,B1
90,586,Brazilian Conference on Intelligent Systems,20200.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,99.0,100.0,99.0,99.0,A4,A4,A4,A4,all,brazilian conference on intelligent system,A4
91,624,Conferência Latino-Americana de Informática,20040.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,99.0,98.0,78.0,85.0,B2,B2,,B2,all,conferencia latinoamericana de informatica,B2
