;id_lattes;nome;sexo;idade_academica;quantidade_producoes;producoes_por_idade;nota_qualis;precisao_nota_qualis;softwares_participacao;orientacoes;orientacoes_por_idade;instituicao_trabalho;estado_instituicao_trabalho;graduacao;ano_graduacao;posdoc;ano_posdoc;mestrado;ano_mestrado;doutorado;ano_doutorado;ATIVIDADES_DE_DIRECAO_E_ADMINISTRACAO;ATIVIDADES_DE_PESQUISA_E_DESENVOLVIMENTO;ATIVIDADES_DE_ENSINO;ATIVIDADES_DE_EXTENSAO_UNIVERSITARIA;ATIVIDADES_DE_PARTICIPACAO_EM_PROJETO;grande_area_conhecimento;area_conhecimento;subarea_conhecimento
38;3339703725728623;Hervé Cédric Yviquel;M;14;16;1.1428571428571428;5.65;0.8125;9;4;0.2857142857142857;Universidade Estadual de Campinas;SP;Mathématique, Informatique, Physique, Economie;2008;;2019;Ciência da Computação;2010;Ciência da Computação;2013;0;1;0;0;0;ENGENHARIAS;Engenharia Elétrica;Ciência da Computação
39;3530189028502875;Carlos Henrique Aguena Higa;M;19;9;0.47368421052631576;4.125;0.6666666666666667;0;6;0.3157894736842105;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2003;;;Ciência da Computação;2006;Ciência da Computação;2012;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Bioinformática
40;3790201696145434;Ricardo da Silva Torres;M;22;156;7.090909090909091;74.025;0.717948717948718;0;10;0.45454545454545453;Norwegian University of Science and Technology;;Engenharia de Computação;2000;;2018;;;Doutorado Em Ciência de Computação;2004;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
41;4176915322233893;Edson Borin;M;22;78;3.5454545454545454;29.125;0.6153846153846154;8;11;0.5;Universidade Estadual de Campinas;SP;Ciência da Computação;2000;;;;;Ciência da Computação;2007;0;1;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
42;4298207148978715;Graziela Santos de Araújo;F;23;4;0.17391304347826086;0.625;0.25;0;2;0.08695652173913043;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;1999;;;Ciência da Computação;2003;CIÊNCIA DA COMPUTAÇÃO;2019;0;0;4;0;13;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
43;4458409544983212;Lucas Francisco Wanner;M;18;40;2.2222222222222223;16.325;0.7;0;7;0.3888888888888889;Universidade Estadual de Campinas;SP;Ciências da Computação;2004;;2015;Ciências da Computação;2006;Computer Science;2014;0;1;3;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
44;4512658167877638;Marcelo Henriques de Carvalho;M;38;11;0.2894736842105263;4.3999999999999995;0.8181818181818181;0;12;0.3157894736842105;Universidade Federal de Mato Grosso do Sul;MS;Licenciatura Plena em Matemática;1984;;2004;Matemática Aplicada;1988;Ciência da Computação;1996;0;0;1;0;6;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
45;4534936707754253;Juliana Freitag Borin;F;21;29;1.380952380952381;10.274999999999999;0.6551724137931034;5;4;0.19047619047619047;Universidade Estadual de Campinas;SP;Bacharelado em Informática;2001;;2012;Ciência da Computação;2004;Ciência da Computação;2010;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
46;4565732884783358;Célio Cardoso Guimarães;M;57;9;0.15789473684210525;1.0;0.2222222222222222;0;5;0.08771929824561403;Universidade Estadual de Campinas;SP;Engenharia Eletrônica;1965;;;Operations Research;1970;Computer Science;1973;0;1;2;1;0;;;
47;4584747419373688;Marcelo Augusto Santos Turine;M;31;54;1.7419354838709677;8.8;0.42592592592592593;8;7;0.22580645161290322;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado em Ciência da Computação;1991;;2002;Ciências da Computação e Matemática Computacional;1994;Ciências da Computação;1998;2;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
