,producoes
30, x simposio brasileiro de sistemas de informacao. 							2014. (simposio).  					 
31, i simposio de computacao aplicada.uma nova abordagem para o calculo do balanco hidrico climatologico. 							2009. (simposio).  					 
32, i congresso de computacao da grande dourados - ccgd. 2008. (congresso).  
33, 50o congresso da uniao nacional de estudantes. 2007. (congresso).  
34, vii semana unificada de informatica - infoweek 2007. 2007. (outra).  					 
35, iv semana da matematica. 2006. (outra).  					 
36, vi infoweek - semana unificada de informatica. 2006. (outra).  					 
37, xi congresso universitario dce/uems. 2006. (congresso).  
38," silva, l. e. p.; silva, l. r. ; golin, a. l. m. m. ; barros, b. r. g. s. ; machado, m. o. ; neves, a. p.  ; neco, b. m. p. ; loio, g. x. ; souza, s. c. s. b. ; jimenez, l. f. s.  ; ribeiro, v. s. . ii hackathon ala voti. 2018. (concurso).  "
39," silva, l. e. p.. hackathon ala voti. 2017. (concurso).  "
40," araujo, a. f. ; silva, l. e. p. . ii encontro de desenvolvimento tecnologico e cientifico do pantanal. 2015. (outro).  "
41," silva, l. e. p.; araujo, a. f. ; costa, e. a. ; salomon, r. . startup pantanal. 2015. (outro).  "
42," silva, l. e. p.; araujo, a. f. . i encontro de desenvolvimento tecnologico e cientifico do pantanal. 2014. (outro).  "
43," silva, l. e. p.. iii semana tecinca de computacao - setec. 2009. (outro).  "
44," silva, l. e. p.. 12o congresso dce/uems. 2007. (congresso).  "
45, bruno marcos pimenta neco. 							linha de produtos de software: dominio jogos educacionais. 							2018. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
46, jaqueline cabrera vargas. 							alfabrinque: desenvolvimento de jogo digital movel enquanto  ferramenta de auxilio para a alfabetizacao. 							2016. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
47, raphael alex de sousa. 							bravo : sistema web de apoio a pesquisa em educacao. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
48, luiz henrique quevedo lima. 							ufms mobile: ferramenta para auxilio academico na universidade  federal de mato grosso do sul. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
49, douglas cortez alves. 							redes sociais inclusivas: um estudo de caso. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
50, renan rocha fucci. 							classificadores de imagens de satelites do pantanal. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
51, luis heriberto osinaga peinado. 							estudo de metodologias de suavizacao no dominio espacial  aplicadas em imagens de sensoriamento remoto. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
52, bianca moreira medeiros. 							sistema de gestao de pratica juridica (sgpj). 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
53, kesller keverlon correa da fonseca. 							sistema web para gestao eclesiastica de igrejas evangelicas. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
54, thiago tadeu conceicao moraes. 							sistema softfood para gestao de estabelecimentos fast- food  delivery. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
55, paulo cesar do carmo ribeiro. 							sistema de acompanhamento de desenvolvimento de deficientes. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
56," silva, l. e. p.; laitart, k. r. ; peterle, n. p. ; rambo, c. ; mello, c. a. s. ; vidal, v. h. . cadeia de custodia. 2021.                  patente:                 programa de computador.             numero do registro: br512021000563-5, data de registro:                      30/03/2021, titulo: ""cadeia de custodia"" ,  instituicao de registro: inpi - instituto nacional da propriedade  industrial.                    "
57," silva, l. e. p.; bracht, e. c. ; fietz, c. r. . bhcmovel. 2009.  "
58," fermino, l. m. ; silva, l. e. p. ; asseis neto, h. . reconhecedor otico de caracteres em documentos da lingua portuguesa com baixa nitidez. 2013.  "
59," fermino, l. m. ; silva, l. e. p. ; asseis neto, h. . reconhecedor otico de caracteres em documentos da lingua portuguesa com baixa nitidez. 2013.  "
60," silva, l. e. p.; riedner, d. d. t. ; vidal, v. h. ; rodrigues, b. l. a. ; valente, v. o. ; silva, v. l. l. ; guidorizzi, v. a. . tutorar. 2021.                  patente:                 programa de computador.             numero do registro: br512021000562-7, data de registro:                      30/03/2021, titulo: ""tutorar"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
61," silva, l. e. p.; silva, l. r. ; castro, a. l. s. ; guia, k. r. ; barros, k. o. s. ; cruz, a. c. ; gutierrez junior, j. l. b. ; silva, n. m. s. ; almeida, s. c. v. ; neves, a. p. . siane - sistema de informacao para ambiente nao escolar. 2018.                  patente:                 programa de computador.             numero do registro: br512018052228-9, data de registro:                      20/09/2018, titulo: ""siane - sistema de informacao  para ambiente nao escolar"" , instituicao de registro: inpi - instituto  nacional da propriedade industrial.                    "
62," vargas, j. c. ; silva, l. e. p. ; santos, b. a. ; riedner, d. d. t. ; silva, l. r. . alfabrinque. 2016.                  patente:                 programa de computador.             numero do registro: br512017000043-3, data de registro:                      01/09/2016, titulo: ""alfabrinque"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
