,producoes
383," santos, j. ; fernandes, p. ; goncalves, e. ; fontao, a. l. ; bonifacio, b.  . caracterizando fatores de influencia na experiencia do desenvolvedor  em ecossistemas de software movel. in: x wdes - x workshop em  desenvolvimento distribuido de software, ecossistemas de software e  sistemas-de-sistemas, 2016, maringa. anais do vii congresso brasileiro  de software: teoria e pratica (cbsoft). porto alegre: sbc, 2016.  "
384," fontao, a. l.; santos, rodrigo ; dias-neto, arilo  . research opportunities for mobile software ecosystems. in: cbsoft  2015 - ix workshop em desenvolvimento distribuido de software,  ecossistemas de software e sistemas-de-sistemas, 2015, belo horizonte.  cbsoft 2015 - ix workshop em desenvolvimento distribuido de software,  ecossistemas de software e sistemas-de-sistemas, 2015.  "
385," fontao, awdren de lima;  neto, arilo claudio dias . mseco cert: process-based approach to  support apps certification in mobile software ecosystem. in: amazon  advanced school of software quality, 2015, manaus. 1st amazon advanced  school of software quality (aassq), 2015.  "
386," fontao, awdren de lima;  santos, rodrigo pereira dos ; neto, arilo claudio dias . mseco-sup:  support process in mobile software ecosystems. 2015. (apresentacao de  trabalho/congresso).  "
387," fontao, awdren de lima;  neto, arilo claudio dias . mseco cert: uma abordagem baseada em  processo para apoiar a certificacao de apps em ecossistemas de software  movel. 2015. (apresentacao de trabalho/simposio).  "
388," fontao, awdren de lima;  santos, rodrigo pereira dos ; neto, arilo claudio dias . research  opportunities for mobile software ecosystems. 2015. (apresentacao de  trabalho/congresso).  "
389," biase, c. ; fernandes, p. ; fontao, awdren de lima ; fernandes, m. ; bonifacio, b.  . avaliando a experiencia de desenvolvedores (dx) no processo de ensino  de desenvolvimento de aplicacoes moveis. 2015. (apresentacao de  trabalho/congresso).  "
390," pedraca, b. ; bonifacio, b. ; fontao, awdren de lima  ; fernandes, p. . melhorando uma tecnica de inspecao de usabilidade de  aplicacao web por meio do metodo de avaliacao de comunicabilidade. 2015.  (apresentacao de trabalho/congresso).  "
391," fontao, awdren de lima; bonifacio, b.  ; neto, arilo claudio dias ; bezerra, a. ; santos, rodrigo pereira dos .  mseco skill: construcao de competencias de desenvolvedores em  ecossistemas de software movel. 2014. (apresentacao de  trabalho/congresso).  "
392," castro, a. ; fontao, awdren de lima  ; neto, arilo claudio dias . an approach to perform automated  functional testing in database-driven applications. 2014. (apresentacao  de trabalho/congresso).  "
393," fontao, a. l.. desenvolvendo apps e gerando renda ainda na universidade com j2me. 2012. (apresentacao de trabalho/conferencia ou palestra).  "
394," fontao, a. l.. nokia s40 full touch e o j2me. 2012. (apresentacao de trabalho/conferencia ou palestra).  "
395," fontao, a. l.; bonifacio, b.  ; nicolay, a. . apps framework: um processo centrado no usuario  aplicado para o desenvolvimento de aplicativos moveis - um estudo de  caso. 2012. (apresentacao de trabalho/congresso).  "
396," fontao, a. l..  javame no mundo real: novas ferramentas java para serie 40 da nokia.  2011. (apresentacao de trabalho/conferencia ou palestra).  "
397," fontao, a. l.. javame no mundo real: novas ferramentas para nokia s40. 2011. (apresentacao de trabalho/conferencia ou palestra).  "
398," fontao, a. l.. novas ferramentas p/ j2me: apis de mapa e touch & type. 2011. (apresentacao de trabalho/conferencia ou palestra).  "
399," fontao, a. l.. oportunidades para desenvolvimento web em plataformas nokia. 2011. (apresentacao de trabalho/conferencia ou palestra).  "
400," fontao, awdren. international conference on software business (icosb 2021) - membro do comite de programa. 2021.  "
401," fontao, awdren. simposio brasileiro de sistemas de informacao - membro do comite de programa. 2021.  "
402," fontao, awdren. simposio brasileiro de engenharia de software 2021 - trilha de educacao (membro do comite de programa). 2021.  "
403," fontao, awdren.  simposio brasileiro de engenharia de software 2021 - trilha de ideias  inovadoras e resultados emergentes (membro do comite de programa). 2021.   "
404," fontao, awdren.  ii concurso de trabalhos de iniciacao cientifica parte do simposio  brasileiro de engenharia de software - sbes 2021 (membro do comite de  programa). 2021.  "
405," fontao, awdren. workshop sobre educacao em computacao (csbc 2021 - wei) - membro do comite de programa. 2021.  "
406," fontao, awdren. brazilian symposium on human factors in computing systems - research track (tpc member). 2021.  "
407," fontao, awdren. brazilian symposium on human factors in computing systems (iier track) - tpc member. 2021.  "
408," fontao, awdren. sbgames 2021 - trilha educacao (membro do comite de programa). 2021.  "
409," fontao, awdren. sbie 2021 jogos educacionais e tecnologia inovadora para educacao (trilha 2) - membro do comite de programa. 2021.  "
410," fontao, awdren. simposio brasileiro de qualidade de software (sbqs) - trilha de pesquisa - membro do comite de programa. 2021.  "
411," fontao, awdren. simposio brasileiro de qualidade de software (sbqs) - trilha de educacao - membro do comite de programa. 2021.  "
412," fontao, awdren. international conference on global software engineering 2020 (icgse)- research track (membro do comite de programa). 2020.  "
413," fontao, awdren.  international conference on global software engineering 2020 (icgse)-  experience reports track (membro do comite de programa). 2020.  "
414," fontao, awdren. simposio brasileiro de sistemas de informacao - sbsi 2020 - (membro do comite de programa). 2020.  "
415," fontao, awdren.  14th workshop on distributed software development, software ecosystems  and systems-of-systems (wdes 2020) - comite de programa. 2020.  "
416," fontao, awdren. workshop of theses and dissertations in hci 2019 (membro do comite de programa). 2019.  "
417," fontao, awdren.  xviii simposio brasileiro sobre fatores humanos em sistemas  computacionais - ihc 2019 - artigos completos - (membro do comite de  programa). 2019.  "
418," fontao, awdren.  brazilian symposium on computer games and digital entertainment  (sbgames 2019) - education track (membro do comite de programa). 2019.  "
419," fontao, awdren.  xviii simposio brasileiro sobre fatores humanos em sistemas  computacionais - ihc 2019 - ihc na pratica - (membro do comite de  programa). 2019.  "
420," fontao, awdren.  xviii simposio brasileiro de qualidade de software - sbqs - trilha de  relatos de experiencia - (membro do comite de programa). 2019.  "
421," fontao, awdren. simposio brasileiro de sistemas de informacao - sbsi 2019 - (membro do comite de programa). 2019.  "
422," fontao, awdren. frontiers in education - fie 2019 (membro do comite de programa). 2019.  "
423," fontao, awdren.  workshop sobre aspectos da interacao humano-computador para a web  social - waihcws 2019 - (membro do comite de programa). 2019.  "
424," fontao, awdren. frontiers in education - fie 2017 (membro do comite de programa). 2017.  "
425," goncalves, c. ; fontao, a. l. . cenario de desenvolvimento com java. 2011.  						 							(programa de radio ou tv/mesa redonda). 						 "
426," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
427," fontao, a. l.;  bezerra, a. ; gatti, d. . atividades experimentais de ensino em curso  de graduacao - desenvolvimento de apps para nokia asha - java. 2013.  (curso de curta duracao ministrado/outra).  "
428," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
429," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
430," fontao, a. l.;  bezerra, a. ; feitoza, l. . atividades experimentais de ensino em  centro de treinamento de informatica - desenvolvimento de apps para  windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
431," fontao, a. l.; bezerra, a. ; collins, e. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
432," fontao, a. l.; bezerra, a. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
433," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
434,"   fontao, a. l.. desenvolvimento de apps para nokia s40 - java mobile. 2012. (curso de curta duracao ministrado/outra).  "
435," fontao, a. l.. introducao ao desenvolvimento com windows phone. 2012. (curso de curta duracao ministrado/outra).  "
436," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
437," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
438," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
439," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
440," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
441," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
442," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
443," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
444," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
445," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
446," fontao, a. l.. graphical user interface. 							2009. (desenvolvimento de material didatico ou instrucional - material de apoio para a disciplina projeto de programas).  "
447," valentim, n. m. c.; fontao, awdren;  pereira, r.; pimentel, a. r..  participacao em banca de aline de  oliveira sousa. uxug-ap - diretrizes de usabilidade e experiencia do  usuario para projeto agil. 2020. dissertacao (mestrado em informatica) -  universidade federal do parana.  "
448," menezes, g. s.; cafeo, b. b. p.; hora, a. c.; fontao, awdren; borges, h. s..   participacao em banca de gabriel santana de menezes. um estudo  exploratorio sobre code samples e sua relacao com organizacoes e  desenvolvedores. 2021.  "
449," paiva, d. m. b.; fontao, awdren.   participacao em banca de otavio aratani kaiya.um estudo sobre aspectos  teoricos e praticos da metodologia agil de desenvolvimento de software. 							2020. trabalho de conclusao de curso (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul.  "
450," fernandes, p.; fontao, a. l..   participacao em banca de marcos tardelly correa de castro.um aplicativo  movel para apoio a inspecao de usabilidade baseado na avaliacao  heuristica. 							2017. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
451," fernandes, p.; fontao, a. l.;  cavalcante, a..  participacao em banca de dayane rosas de souza.uma  aplicacao movel com base na realidade aumentada como ferramenta de apoio  no processo de alfabetizacao de portadores de sindrome de down. 							2017. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
452," bonifacio, b.; fontao, a. l.;  fernandes, p..  participacao em banca de max de oliveira dos  santos.aprimorando a captura das percepcoes de engenheiro de software no  processo de desenvolvimento de aplicacoes por meio de uma tecnologia de  software. 							2017. trabalho de conclusao de curso (graduacao em engenharia de  software)  - universidade federal do amazonas.  "
453," bonifacio, b.; fontao, a. l..   participacao em banca de elian cristian dos reis martins.um metodo de  avaliacao da experiencia dos desenvolvedores no processo de  desenvolvimento de software. 							2017. trabalho de conclusao de curso (graduacao em engenharia de  software)  - universidade federal do amazonas.  "
454," bonifacio, b.; fontao, a. l.;  santos, a. a. s..  participacao em banca de raimundo felix da rocha.uso  de audiodescricao e geolocalizacao indoor para o auxilio do  deslocamento de usuario com baixa visao. 							2017. trabalho de conclusao de curso (graduacao em engenharia de  software)  - universidade federal do amazonas.  "
455," fernandes, p.; fontao, a. l.;  ferreira, r..  participacao em banca de rudda silva beltrao brito.maque:  uma ferramenta movel colaborativa para inspecao de usabilidade em  aplicacoes web. 							2017. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
456," bonifacio, b.; ferreira, r.; fontao, awdren de lima.   participacao em banca de eurimar lemos vieira.uma abordagem para  alocacao de recursos da secretaria de coordenacao de curso do icet/ufam. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
457," bonifacio, b.; fernandes, p.; fontao, awdren de lima.   participacao em banca de joicilene nunes santos.um estudo sobre  fatores que influenciam a experiencia do desenvolvedor em ecossistemas  de software movel. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
458," fontao, awdren; bonifacio, b.;  fernandes, p..  participacao em banca de ecthon borhis silva de  almeida.avaliando o processo de ensino aprendizagem por meio de um  aplicativo de realidade virtual. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
459," fontao, awdren; bonifacio, b.;  fernandes, p..  participacao em banca de renata costa de melo.estudo  sobre as tecnologias de desenvolvimento de aplicacoes para dispositivos  moveis: nativo, web app e hibrida. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
460," fontao, awdren; fernandes, p.; santos, a. a. s.; bonifacio, b..   participacao em banca de patricia nunes damasceno.guia icet: um  aplicativo informativo para o instituto de ciencias exatas e tecnologia  do icet/ufam. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
461," fontao, awdren; bonifacio, b.;  fernandes, p..  participacao em banca de katlhen santos  maciel.avaliacao de acessibilidade e usabilidade em plataformas moveis  utilizadas por pessoas de baixo letramento. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
462," bonifacio, b.; fontao, awdren;  xavier, c..  participacao em banca de everson nunes medeiros.istema  gerenciador de atividades complementares para o instituto de ciencias  exatas e tecnologia - icet/ufam. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
463," fernandes, p.; bonifacio, b.; fontao, awdren;  cavalcante, a..  participacao em banca de valber cunha tavares.sistema  de lotacao de servidores da secretaria municipal de educacao de  itacoatiara. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
464," fernandes, p.; fontao, awdren;  xavier, c..  participacao em banca de fabiana rocha da silva.influencia  do tipo de personalidade do professor e aluno no processo de ensino da  computacao. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
465," fernandes, p.; fontao, awdren; bonifacio, b..  participacao em banca de giderlane moraes de souza.utilizando um jogo de ensino para auxiliar no aprendizado de programacao. 							2016. trabalho de conclusao de curso (graduacao em sistema de informacao)  - universidade federal do amazonas.  "
466," yugoshi, i. p. m.; paiva, d. m. b.; fontao, awdren.  concurso publico para ingresso na carreira do magisterio superior da  universidade federal de mato grosso do sul, objeto do edital ufms/progep  no 145, de 14 de setembro de 2019. 							2020. universidade federal de mato grosso do sul.  "
467, i semana de informatica do instituto de  ciencias exatas e tecnologia da ufam.ecossistemas para plataformas movel  - ecos app: oportunidades!. 							2014. (encontro).  					 
468, i semana de informatica do instituto de  ciencias exatas e tecnologia da ufam.fortalecendo a parceria entre a  universidade e o mercado de trabalho. 							2014. (encontro).  					 
469, semana de informatica.desenvolvimento de apps para windows phone - c#. 							2013. (encontro).  					 
470, the developers conference - tdc. the bug is on the table. 2013. (congresso).  
471, the developers conference - tdc. atalho para o sucesso: promovendo a sua app. 2013. (congresso).  
472, encosis - primeiro encontro regional de  computacao e sistemas de informacao.oportunidade de desenvolvimento para  mobile phone - series 40. 							2012. (encontro).  					 
473, minicurso: j2me - globalcode.desenvolvimento de jogos com java para nokia s40 e ferramentas de monetizacao. 2012. (oficina).  					 
474, seminario de desenvolvimento de  aplicacoes moveis - icomp (ufam) e nokia.oportunidas de desenvolvimento  para mobile phones - nokia series 40. 							2012. (encontro).  					 
475, the developers conference - tdc. desenvolvendo apps e gerando renda ainda na universidade com j2me. 2012. (congresso).  
476, the developers conference - tdc. nokia s40 full touch e o j2me. 2012. (congresso).  
477, java day.novas ferramentas p/ j2me: apis de mapa e touch & type. 							2011. (encontro).  					 
478, the developers conference - tdc. oportunidades para desenvolvimento web em plataformas nokia. 2011. (congresso).  
479, the developers conference - tdc. javame no mundo real: novas ferramentas para nokia s40. 2011. (congresso).  
480, the developers conference - tdc.javame no mundo real: novas ferramentas java para serie 40 da nokia. 							2011. (encontro).  					 
481, iv encontro de software livre do amazonas. 							2007. (encontro).  					 
482," fontao, awdren;  horita, f. . coordenacao do comite de programa - 6o washes workshop  sobre aspectos sociais, humanos e economicos de software. 2021.  (congresso).  "
483," fontao, awdren. proceedings chair - sbsi 2021 - simposio brasileiro de sistemas de informacao. 2021. (congresso).  "
484," fontao, awdren. proceedings chair - sbqs 2021 - simposio brasileiro de qualidade de software. 2021. (congresso).  "
485," steinmacher, i. ; fontao, awdren . 5o washes ? workshop sobre aspectos sociais, humanos e economicos de software. 2020. (outro).  "
486," steinmacher, i. ; fontao, awdren .  coordenacao do comite de programa - 5o washes - workshop sobre aspectos  sociais, humanos e economicos de software. 2020. (congresso).  "
487," rocha, g. ; fontao, awdren . sidia test day 2019. 2019. (outro).  "
488," maldonado, j. c. ; dias-neto, arilo ; farias junior, i. h. ; werner, c. ; nakagawa, e. y. ; oquendo, f. ; costa, h. ; santos, rodrigo ; marczak, s. ; fontao, awdren de lima  ; goncalves, m. b. ; leitao junior, n. ; lima, t. ; volpato, t. . x  workshop em desenvolvimento distribuido de software, ecossistemas de  software e sistemas-de-sistemas. 2016. (outro).  "
489, ana elisa da silva cunha. um modelo baseado em habilidades para formacao de profissionais de developer relations. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
490, rafael pinheiro de andrade. a definir. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
491, paulo jose dos reis pereira. uma taxonomia de modelos ecologicos para experimentacao em ecossistemas de software. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
492, luiz alexandre martins da costa. uma abordagem para gestao de incidentes em ecossistemas de software proprietario. 						inicio: 2019. 						dissertacao (mestrado em informatica)  - universidade federal do estado do rio de janeiro. (coorientador).  
493, rafael araujo de lima. apoiando  profissionais de devrel em selecao de estrategias. 						inicio: 2021. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
494, mateus ragazzi balbino. classificacao de  severidade de bugs para apoiar testadores novatos. 						inicio: 2021. trabalho de conclusao de curso (graduacao em sistema  de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
495, victor koji oshiro shinohara.  investigando sentimentos em threads de discussao no gitter sobre  projetos open-source. 						inicio: 2021. trabalho de conclusao de curso (graduacao em sistema  de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
496, lucas avanzi. go devrel: a tool to  support devrel practitioners and researchers. 						inicio: 2020. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
497," fernando kendy yahiro. o estilo, as boas  praticas e os bugs de projetos open-source sobre aprendizagem de  maquina. 						inicio: 2020. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  "
498, felipe soupinski. a developer relations  (devrel) perspective of software ecosystems' death. inicio: 2020.  iniciacao cientifica (graduando em engenharia de software)  -  universidade federal de mato grosso do sul. (orientador).  
499, igor braga galvan. on applying ecological  modeling in software ecosystem research. inicio: 2020. iniciacao  cientifica (graduando em engenharia de software)  - universidade federal  de mato grosso do sul. (orientador).  
500," oswald mesumbe ekwoge. tester experience:  uma abordagem para melhorar a experiencia do testador em projetos de  software. 							2018. 						 					dissertacao  (mestrado em informatica)  - universidade federal do  amazonas, fundacao de amparo a pesquisa do estado do amazonas.  coorientador: awdren de lima fontao.  "
501, flavio augusto muller shinzato. 							uma estrategia para apoiar o onboarding de testadores novatos. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
502, willian braga. 							code samples as enablers for developer relations in software  ecosystems. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
503, daniel massanori. 							on investigating the death of software ecosystems - windows phone  scenario. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
504, raphael arruda de oliveira. 							explorando os papeis de times de devrel (developer relations). 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
505, adauto ferreira de souza neto. 							estilo arquitetural de desenvolvimento de aplicacoes com  componentes de interface adaptivos. 							2020. 							trabalho de conclusao de curso. (graduacao em engenharia de  computacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
506, marcos hiroshi saito bezerra. 							um estudo sobre as barreiras enfrentadas por testadores novatos  de apps. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
507, kleyfferson lima silva. 							um estudo sobre a adocao do scrum por equipes de projetos de  larga escala. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
508, gabriel gama. 							uma ferramenta para apoiar o uso do scrum com equipes remotas. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
509, fabricio jose da silva lima. 							entendendo mseco a partir de analise de dados tecnicos do stack  overflow. 							2017. 							trabalho de conclusao de curso. (graduacao em sistema de  informacao)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
510, schweitzer wostewoysers campelo. 							analisando a relacao entre relatos de falhas e ratings em  comentarios de aplicacoes moveis na loja google play. 							2016. 							trabalho de conclusao de curso. (graduacao em sistema de  informacao)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
511, jose carlos rangel nascimento. 							testes de software em um instituto de p&d. 							2018. 							orientacao de outra natureza. (sistema de informacao)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
512, caio biase grana. 							realizando um estudo do metodo ux curve aplicado a experiencia do  desenvolvedor. 							2015. 							orientacao de outra natureza. (engenharia de software)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
513, ludymila lobo aguiar gomes. 							identificando nichos em ecossistemas de aplicativos moveis. 							2015. 							orientacao de outra natureza. (ciencia da computacao)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
514," fontao, a. l.; bonifacio, b.  ; nicolay, a. . apps framework: um processo centrado no usuario  aplicado para o desenvolvimento de aplicativos moveis - um estudo de  caso. 2012. (apresentacao de trabalho/congresso).  "
515," fontao, a. l.. introducao ao desenvolvimento com windows phone. 2012. (curso de curta duracao ministrado/outra).  "
516," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
517," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
518," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
519," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
520," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
521," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
522," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
523," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
524," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
525," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
526," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
527," fontao, a. l.;  bezerra, a. ; gatti, d. . atividades experimentais de ensino em curso  de graduacao - desenvolvimento de apps para nokia asha - java. 2013.  (curso de curta duracao ministrado/outra).  "
528," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
529," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
530," fontao, a. l.;  bezerra, a. ; feitoza, l. . atividades experimentais de ensino em  centro de treinamento de informatica - desenvolvimento de apps para  windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
531," fontao, a. l.; bezerra, a. ; collins, e. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
532," fontao, a. l.; bezerra, a. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
533," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
534," steinmacher, i. ; fontao, awdren .  coordenacao do comite de programa - 5o washes - workshop sobre aspectos  sociais, humanos e economicos de software. 2020. (congresso).  "
535," fontao, awdren;  horita, f. . coordenacao do comite de programa - 6o washes workshop  sobre aspectos sociais, humanos e economicos de software. 2021.  (congresso).  "
536," fontao, awdren. proceedings chair - sbsi 2021 - simposio brasileiro de sistemas de informacao. 2021. (congresso).  "
537," fontao, awdren. proceedings chair - sbqs 2021 - simposio brasileiro de qualidade de software. 2021. (congresso).  "
538,"3.63fontao,  a. l.;fontao, awdren de lima;fontao, awdren de lima;fontao,  awdren;fontao, a;de lima fontao, awdren;fontao, a. l;fontao, awdren2019fontao, a. l.; santos, r. p.  ; dias-neto, arilo claudio . exploiting repositories in mobile software  ecosystems from a governance perspective. information systems frontiers, v. 2019, p. 143-161, 2019.  "
539," 3.745fontao, awdren2020fontao, awdren; paes, pedro ; ekwoge, oswald ; dos santos, rodrigo pereira  ; dias-neto, arilo claudio . evaluating processes to certify mobile  applications during developer relations activities. ieee access, v. 8, p. 1-1, 2020. citacoes:5 "
540," gomes, j.2020gomes, j. ; villanes, i. k. ; ascate, s. ; fontao, a ; andrade, e. n. ; dias-neto, arilo . scutma: selecting components for unit testing in mobile applications. journal of computer science, v. 1, p. 1, 2020.  "
541," 3.63fontao,  a. l.;fontao, awdren de lima;fontao, awdren de lima;fontao,  awdren;fontao, a;de lima fontao, awdren;fontao, a. l;fontao, awdren2019fontao, a. l.; santos, r. p.  ; dias-neto, arilo claudio . exploiting repositories in mobile software  ecosystems from a governance perspective. information systems frontiers, v. 2019, p. 143-161, 2019.  "
542," fontao, awdren2018fontao, awdren; abia, bruno ; wiese, igor ; estacio, bernardo ; quinta, marcelo  ; santos, rodrigo pereira dos ; dias-neto, arilo claudio . supporting  governance of mobile application developers from mining and analyzing  technical questions in stack overflow. journal of software engineering  research and development, v. 6, p. 8, 2018.  "
543," santos, r. p. ; fontao, a. l.  ; fernandes, j. c. . ecossistemas de software. in: cristiano maciel;  jose viterbo. (org.). (org.). computacao e sociedade: a tecnologia.  1ed.cuiaba: edufmt, 2020, v. 3, p. 198-223.  "
544," fontao, a. l.; wiese, i. s. ; santos, r. p.  ; dias-neto, arilo claudio . governanca de desenvolvedores em  ecossistemas de software. in: r. p. santos; a. l. martinotto; s. avila e  silva.. (org.). topicos em sistemas de informacao - minicursos do xiv  simposio brasileiro de sistemas de informacao. 14ed.porto alegre: sbc,  2018, v. 14, p. 76-104.  "
545," fontao, a. l.; santos, rodrigo pereira dos ; dias-neto, arilo  . towards a guideline-based approach to govern developers in mobile  software ecosystems. in: goetz botterweck and claudia werner. (org.).  mastering scale and complexity in software reuse. 1ed.: springer  international publish, 2017, v. 1, p. 208-2015.  "
546," fontao, a. l.. desenvolvimento de aplicativos para mobile phones. mobile magazine, 01 jun.  2012.  "
547,"   fontao, a. l.. utilizando jquery e o google maps para encontrar rotas entre enderecos. webmobile magazine, , v. 25.  "
