,conferencias,qualis_conferencias,periodicos,qualis_periodicos
289,NA,,participacao,
290,NA,,participacao,
291,NA,,participacao,
292,NA,,participacao,
293,NA,,participacao,
294,NA,,participacao,
295,NA,,participacao,
296,NA,,participacao,
297,NA,,participacao,
298,NA,,participacao,
299,NA,,participacao,
300,NA,,participacao,
301,NA,,participacao,
302,NA,,participacao,
303,NA,,participacao,
304,NA,,participacao,
305,NA,,participacao,
306,NA,,participacao,
307,NA,,participacao,
308,NA,,participacao,
309,NA,,participacao,
310,NA,,participacao,
311,NA,,participacao,
312,NA,,participacao,
313,NA,,participacao,
314,NA,,participacao,
315,NA,,participacao,
316,NA,,participacao,
317,NA,,participacao,
318,NA,,NA,
319,NA,,NA,
320,NA,,NA,
321,NA,,NA,
322,NA,,NA,
323,NA,,NA,
324,NA,,tematica,
325,NA,,NA,
326,NA,,NA,
327,NA,,NA,
328,NA,,NA,
329,NA,,NA,
330,NA,,NA,
331,simposio brasileiro de redes de computadores e sistemas distribuidos,,NA,
332,NA,,NA,
333,NA,,NA,
334,NA,,NA,
335,NA,,NA,
336,NA,,NA,
337,NA,,NA,
338,NA,,NA,
339,NA,,NA,
340,NA,,NA,
341,NA,,NA,
342,NA,,NA,
343,NA,,NA,
344,NA,,NA,
345,NA,,NA,
346,NA,,NA,
347,NA,,NA,
348,NA,,NA,
349,NA,,NA,
350,NA,,NA,
351,NA,,NA,
352,NA,,inteligencia artificial,
353,simposio brasileiro de banco de dados,,NA,
354,NA,,NA,
355,NA,,NA,
356,NA,,NA,
357,simposio brasileiro de banco de dados,,NA,
358,simposio brasileiro de banco de dados,,NA,
359,NA,,NA,
360,NA,,NA,
361,NA,,NA,
362,NA,,NA,
363,NA,,inteligencia artificial,
364,NA,,NA,
365,NA,,NA,
366,NA,,NA,
367,NA,,NA,
368,NA,,NA,
369,NA,,NA,
370,NA,,NA,
371,NA,,NA,
372,NA,,NA,
373,NA,,NA,
374,NA,,NA,
375,NA,,NA,
376,NA,,NA,
377,NA,,NA,
378,NA,,NA,
379,NA,,NA,
380,NA,,NA,
381,NA,,NA,
382,NA,,NA,
383,NA,,NA,
384,NA,,NA,
385,NA,,NA,
386,NA,,NA,
387,NA,,NA,
388,NA,,NA,
389,NA,,NA,
390,NA,,computer,
391,NA,,computer,
392,NA,,NA,
393,NA,,inteligencia artificial,
394,NA,,NA,
395,NA,,NA,
396,ieee sensors,,NA,
397,congresso brasileiro de automatica,,NA,
398,NA,,NA,
399,NA,,computer,
400,NA,,NA,
401,congresso brasileiro de agroinformatica,,NA,
402,NA,,NA,
403,NA,,NA,
404,NA,,NA,
405,NA,,NA,
406,NA,,NA,
407,NA,,NA,
408,NA,,NA,
409,NA,,NA,
410,NA,,NA,
411,NA,,NA,
412,NA,,NA,
413,NA,,NA,
414,NA,,NA,
415,NA,,NA,
416,NA,,NA,
417,NA,,letronica,
418,NA,,NA,
419,NA,,NA,
420,NA,,NA,
421,NA,,NA,
422,NA,,NA,
423,NA,,NA,
424,NA,,NA,
425,NA,,NA,
426,NA,,NA,
427,NA,,participacao,
428,NA,,participacao,
429,NA,,participacao,
430,NA,,participacao,
431,NA,,participacao,
432,NA,,participacao,
433,NA,,participacao,
434,NA,,participacao,
435,NA,,participacao,
436,NA,,participacao,
437,NA,,participacao,
438,NA,,participacao,
439,NA,,participacao,
440,NA,,participacao,
441,NA,,participacao,
442,NA,,participacao,
443,NA,,participacao,
444,NA,,participacao,
445,NA,,participacao,
446,NA,,participacao,
447,NA,,participacao,
448,NA,,participacao,
449,NA,,participacao,
450,NA,,participacao,
451,NA,,participacao,
452,NA,,participacao,
453,NA,,participacao,
454,NA,,participacao,
455,NA,,participacao,
456,NA,,participacao,
457,NA,,participacao,
458,NA,,participacao,
459,NA,,participacao,
460,NA,,participacao,
461,NA,,participacao,
462,NA,,participacao,
463,NA,,participacao,
464,NA,,participacao,
465,NA,,participacao,
466,NA,,participacao,
467,NA,,participacao,
468,NA,,NA,
469,NA,,NA,
470,NA,,NA,
471,NA,,NA,
472,NA,,NA,
473,NA,,NA,
474,NA,,NA,
475,NA,,NA,
476,NA,,NA,
477,NA,,NA,
478,NA,,NA,
479,simposio brasileiro de redes de computadores e sistemas distribuidos,,NA,
480,NA,,NA,
481,NA,,NA,
482,workshop sobre educacao em computacao,,NA,
